i	PRP	nsubj	O
want	VBP	ROOT	O
to	TO	aux	O
fly	VB	xcomp	O
from	IN	prep	O
baltimore	NN	pobj	B-fromloc.city_name
to	IN	prep	O
dallas	NNS	amod	B-toloc.city_name
round	JJ	amod	B-round_trip
trip	NN	pobj	I-round_trip

round	JJ	amod	B-round_trip
trip	NN	compound	I-round_trip
fares	NNS	ROOT	O
from	IN	prep	O
baltimore	NN	pobj	B-fromloc.city_name
to	IN	prep	O
philadelphia	VB	pobj	B-toloc.city_name
less	JJR	amod	B-cost_relative
than	IN	quantmod	O
1000	CD	nummod	B-fare_amount
dollars	NNS	nmod	I-fare_amount
round	NN	amod	B-round_trip
trip	NN	compound	I-round_trip
fares	NNS	dobj	O
from	IN	prep	O
denver	NN	pobj	B-fromloc.city_name
to	TO	aux	O
philadelphia	VB	advcl	B-toloc.city_name
less	JJR	amod	B-cost_relative
than	IN	quantmod	O
1000	CD	nummod	B-fare_amount
dollars	NNS	nmod	I-fare_amount
round	NN	amod	B-round_trip
trip	NN	compound	I-round_trip
fares	NNS	dobj	O
from	IN	prep	O
pittsburgh	NN	pobj	B-fromloc.city_name
to	TO	aux	O
philadelphia	VB	advcl	B-toloc.city_name
less	JJR	amod	B-cost_relative
than	IN	quantmod	O
1000	CD	nummod	B-fare_amount
dollars	NNS	dobj	I-fare_amount

show	VB	ROOT	O
me	PRP	dative	O
the	DT	det	O
flights	NNS	dobj	O
arriving	VBG	acl	O
on	IN	prep	O
baltimore	NN	pobj	B-toloc.city_name
on	IN	prep	O
june	NN	compound	B-arrive_date.month_name
fourteenth	NN	pobj	B-arrive_date.day_number

what	WP	attr	O
are	VBP	csubj	O
the	DT	det	O
flights	NNS	nsubj	O
which	WDT	nsubj	O
depart	VBP	relcl	O
from	IN	prep	O
san	JJ	amod	B-fromloc.city_name
francisco	NN	pobj	I-fromloc.city_name
fly	VB	ROOT	O
to	IN	prep	O
washington	NN	pobj	B-toloc.city_name
via	IN	prep	O
indianapolis	NNS	pobj	B-stoploc.city_name
and	CC	cc	O
arrive	VB	conj	O
by	IN	prep	B-arrive_time.time_relative
9	CD	nummod	B-arrive_time.time
pm	NN	pobj	I-arrive_time.time

which	WDT	dobj	O
airlines	NNS	nsubj	O
fly	VBP	ROOT	O
from	IN	prep	O
boston	NN	pobj	B-fromloc.city_name
to	TO	aux	O
washington	VB	advcl	B-toloc.city_name
dc	NNS	dobj	B-toloc.state_code
via	IN	prep	O
other	JJ	amod	O
cities	NNS	pobj	O

i'm	RB	ROOT	O
looking	VBG	advcl	O
for	IN	prep	O
a	DT	det	O
flight	NN	pobj	O
from	IN	prep	O
charlotte	NN	pobj	B-fromloc.city_name
to	IN	aux	O
las	JJ	advcl	B-toloc.city_name
vegas	NN	dobj	I-toloc.city_name
that	WDT	nsubj	O
stops	VBZ	relcl	O
in	IN	prep	O
st.	NN	intj	B-stoploc.city_name
louis	NN	pobj	I-stoploc.city_name
hopefully	RB	advmod	O
a	DT	det	O
dinner	NN	compound	B-meal_description
flight	NN	dobj	O
how	WRB	advmod	O
can	MD	aux	O
i	PRP	nsubj	O
find	VB	ROOT	O
that	DT	dobj	O
out	RP	prt	O

okay	UH	intj	O
and	CC	cc	O
then	RB	advmod	O
from	IN	prep	O
pittsburgh	NN	pobj	B-fromloc.city_name
i'd	RB	dep	O
like	VB	ROOT	O
to	TO	aux	O
travel	VB	xcomp	O
to	IN	prep	O
atlanta	VB	pobj	B-toloc.city_name
on	IN	prep	O
september	NN	pobj	B-depart_date.month_name
fourth	JJ	punct	B-depart_date.day_number

show	VB	ROOT	O
me	PRP	dative	O
all	PDT	predet	O
the	DT	det	O
flights	NNS	dobj	O
from	IN	prep	O
philadelphia	NN	pobj	B-fromloc.city_name
to	IN	prep	O
cincinnati	NN	pobj	B-toloc.city_name

okay	UH	intj	O
i'd	RB	ROOT	O
like	IN	prep	O
a	DT	det	O
flight	NN	pobj	O
on	IN	prep	O
us	PRP	pobj	B-airline_name
air	NN	advmod	I-airline_name
from	IN	prep	O
indianapolis	NNS	pobj	B-fromloc.city_name
to	IN	prep	O
san	NN	compound	B-toloc.city_name
diego	NN	pobj	I-toloc.city_name
in	IN	prep	O
the	DT	det	O
afternoon	NN	pobj	B-depart_time.period_of_day
what's	NNP	punct	O
available	JJ	ROOT	O

