what	WP	attr	O
is	VBZ	ROOT	O
the	DT	det	O
most	RBS	advmod	O
expensive	JJ	amod	B-Price
restaurant	NN	nsubj	O
that	WDT	nsubj	O
serves	VBZ	relcl	O
the	DT	det	O
smallest	JJS	amod	B-Amenity
portions	NNS	dobj	I-Amenity
within	IN	prep	B-Location
5	CD	nummod	I-Location
miles	NNS	pobj	I-Location

where	WRB	advmod	O
can	MD	aux	O
i	PRP	nsubj	O
get	VB	ROOT	O
a	DT	det	O
five	CD	nummod	B-Price
dollar	NN	compound	I-Price
meal	NN	dobj	O

wheres	VBZ	ROOT	O
a	DT	det	O
cheap	JJ	amod	B-Price
pizza	NN	compound	B-Cuisine
place	NN	dobj	O
thats	NNS	compound	O
family	NN	npadvmod	B-Amenity
friendly	JJ	amod	I-Amenity
in	IN	prep	B-Location
the	DT	det	I-Location
area	NN	pobj	I-Location

looking	VBG	ROOT	O
for	IN	prep	O
paul	NN	nmod	B-Restaurant_Name
revere	NN	compound	I-Restaurant_Name
restaurant	NN	pobj	O
with	IN	prep	B-Location
2	CD	nummod	I-Location
miles	NNS	pobj	I-Location
offering	VBG	advcl	O
cheap	JJ	amod	B-Price
prices	NNS	dobj	O

looking	VBG	ROOT	O
for	IN	prep	O
a	DT	det	O
low	JJ	amod	B-Price
cost	NN	compound	I-Price
restaurant	NN	pobj	O
that	WDT	nsubj	O
opens	VBZ	relcl	B-Hours
before	IN	prep	I-Hours
7	CD	pobj	I-Hours
am	NN	punct	I-Hours

i	PRP	nsubj	O
need	VBP	ROOT	O
a	DT	det	O
reservation	NN	dobj	B-Amenity
for	IN	prep	I-Amenity
2	CD	pobj	I-Amenity
at	IN	prep	O
8	CD	nummod	B-Hours
pm	NN	pobj	I-Hours
anywhere	RB	advmod	B-Location
downtown	NN	dobj	I-Location

is	VBZ	ROOT	O
there	EX	expl	O
a	DT	det	O
place	NN	attr	O
with	IN	prep	O
outstanding	JJ	amod	B-Rating
service	NN	pobj	I-Rating
open	JJ	amod	B-Hours
right	RB	advmod	I-Hours
now	RB	advmod	I-Hours

where	WRB	advmod	O
can	MD	aux	O
i	PRP	nsubj	O
go	VB	ROOT	O
to	TO	aux	O
have	VB	xcomp	O
a	DT	det	O
nice	JJ	amod	B-Amenity
dinner	NN	dobj	B-Hours
for	IN	prep	O
two	CD	pobj	O
that	WDT	nsubj	O
serves	VBZ	relcl	O
halal	NN	compound	B-Cuisine
food	NN	dobj	O

where	WRB	advmod	O
in	IN	prep	O
holbrook	NN	pobj	B-Location
could	MD	aux	O
i	PRP	nsubj	O
get	VB	ROOT	O
some	DT	det	O
onion	NN	compound	B-Dish
rings	NNS	dobj	I-Dish
tonight	NN	npadvmod	B-Hours

search	VB	ROOT	O
a	DT	det	O
place	NN	dobj	O
with	IN	prep	O
good	JJ	amod	B-Rating
seafood	NN	pobj	B-Cuisine

can	MD	aux	O
you	PRP	nsubj	O
find	VB	ROOT	O
me	PRP	nsubj	O
someplace	RB	ccomp	O
with	IN	prep	O
a	DT	det	O
good	JJ	amod	B-Rating
wine	NN	compound	B-Amenity
list	NN	pobj	I-Amenity
this	DT	det	O
time	NN	npadvmod	O

i	PRP	nsubj	O
am	VBP	aux	O
looking	VBG	ROOT	O
for	IN	prep	O
a	DT	det	O
good	JJ	amod	B-Rating
korean	JJ	amod	B-Cuisine
restaurant	NN	pobj	O
in	IN	prep	B-Hours
dc	NNP	pobj	I-Hours

wheres	VBZ	ROOT	O
best	JJS	amod	B-Rating
restaurant	NN	dobj	O
in	IN	prep	O
needham	NN	amod	B-Location
heights	NNS	pobj	I-Location

where	WRB	advmod	O
is	VBZ	ROOT	O
the	DT	det	O
closest	JJS	amod	B-Location
place	NN	nsubj	O
i	PRP	nsubj	O
can	MD	aux	O
get	VB	relcl	O
sushi	NN	attr	B-Dish

where	WRB	advmod	O
can	MD	aux	O
i	PRP	nsubj	O
get	VB	ROOT	O
bean	NN	compound	B-Dish
soup	NN	dobj	I-Dish
in	IN	prep	O
a	DT	det	O
restaurant	NN	compound	O
thats	NNS	pobj	O
open	JJ	amod	B-Hours
until	IN	prep	I-Hours
11	CD	pobj	I-Hours
at	IN	prep	I-Hours
night	NN	pobj	I-Hours

find	VB	ROOT	O
me	PRP	dobj	O
a	DT	det	O
place	NN	dobj	O
that	WDT	nsubj	O
carries	VBZ	relcl	O
udon	JJ	amod	B-Dish
noodle	NN	compound	I-Dish
soup	NN	dobj	I-Dish

im	UH	ROOT	O
in	IN	ROOT	O
the	DT	det	O
mood	NN	pobj	O
for	IN	prep	O
some	DT	det	O
really	RB	advmod	B-Dish
spicy	JJ	amod	I-Dish
food	NN	pobj	O

where	WRB	advmod	O
is	VBZ	ROOT	O
the	DT	det	O
nearest	JJS	amod	B-Location
sebastians	NNS	compound	B-Restaurant_Name
restaurant	NN	nsubj	O
located	VBN	acl	O

where	WRB	advmod	O
is	VBZ	ROOT	O
the	DT	det	O
next	JJ	amod	B-Location
mcdonalds	NNS	nsubj	B-Restaurant_Name

what	WDT	det	O
time	NN	dobj	O
does	VBZ	aux	O
billys	PRP	nsubj	B-Restaurant_Name
open	VB	ROOT	O
for	IN	prep	O
lunch	NN	pobj	O

can	MD	aux	O
i	PRP	nsubj	O
get	VB	ROOT	O
a	DT	det	O
list	NN	dobj	O
of	IN	prep	O
chichis	NN	pobj	B-Restaurant_Name
that	WDT	nsubj	O
are	VBP	relcl	O
in	IN	prep	O
baltimore	NN	pobj	B-Location

i	PRP	det	O
dont	NN	nsubj	O
have	VBP	ROOT	O
much	JJ	amod	O
time	NN	dobj	O
i	PRP	nsubj	O
need	VBP	relcl	O
some	DT	det	O
fast	JJ	amod	B-Cuisine
food	NN	dobj	I-Cuisine

