is	VBZ	ROOT	O
there	EX	expl	O
anywhere	RB	advmod	O
to	TO	aux	O
eat	VB	xcomp	O
after	IN	prep	B-Hours
11	CD	nummod	I-Hours
pm	NN	pobj	I-Hours

where	WRB	advmod	O
can	MD	aux	O
i	PRP	nsubj	O
get	VB	ROOT	O
a	DT	det	O
hamber	NN	dobj	B-Dish
and	CC	cc	I-Dish
shake	VB	conj	I-Dish

is	VBZ	ROOT	O
there	EX	expl	O
an	DT	det	O
italian	JJ	amod	B-Cuisine
restaurant	NN	attr	O
near	IN	prep	B-Location
by	IN	prep	I-Location

at	IN	prep	O
which	WDT	pobj	O
restaurants	NNS	nsubj	O
can	MD	aux	O
eat	VB	ROOT	O
before	IN	prep	B-Hours
7	CD	pobj	I-Hours
am	NN	dep	I-Hours

where	WRB	advmod	O
can	MD	aux	O
i	PRP	nsubj	O
get	VB	ROOT	O
lasagna	VBN	xcomp	B-Dish
before	IN	prep	B-Hours
12	CD	pobj	I-Hours
am	NN	punct	I-Hours

what	WP	attr	O
are	VBP	ROOT	O
some	DT	quantmod	O
five	CD	nummod	B-Rating
star	NN	compound	I-Rating
restaurants	NNS	nsubj	O
nearby	RB	advmod	B-Location

i	PRP	nsubj	O
am	VBP	ROOT	O
in	IN	prep	O
the	DT	det	O
mood	NN	pobj	O
for	IN	prep	O
a	DT	det	O
good	JJ	amod	O
steak	NN	pobj	B-Cuisine
are	VBP	advcl	O
there	EX	expl	O
any	DT	det	O
steak	NN	compound	B-Cuisine
houses	NNS	attr	I-Cuisine
near	RB	prep	O
with	IN	prep	O
good	JJ	amod	B-Rating
reviews	NNS	pobj	I-Rating

i	PRP	nsubj	O
need	VBP	ROOT	O
to	TO	aux	O
eat	VB	xcomp	O
lunch	NN	dobj	B-Hours
soon	RB	advmod	O
but	CC	cc	O
i	PRP	nsubj	O
need	VBP	conj	O
vegetarian	JJ	amod	B-Cuisine
food	NN	dobj	O

is	VBZ	ROOT	O
there	EX	expl	O
