"	"	punct	O
Iraqi	JJ	amod	B-MISC
army	NN	nsubj	O
heavily	RB	advmod	O
shelled	VBD	ROOT	O
the	DT	det	O
Kanie	NNP	compound	B-LOC
Karzhala	NNP	compound	I-LOC
camp	NN	dobj	O
,	,	punct	O
west	NN	appos	O
of	IN	prep	O
Arbil	NNP	pobj	B-LOC
,	,	punct	O
on	IN	prep	O
Friday	NNP	pobj	O
...	:	punct	O

"	"	punct	O
I	PRP	nsubj	O
get	VBP	ccomp	O
the	DT	det	O
feeling	NN	dobj	O
that	DT	mark	O
everything	NN	nsubjpass	O
is	VBZ	auxpass	O
done	VBN	acl	O
here	RB	advmod	O
for	IN	prep	O
the	DT	det	O
American	JJ	amod	B-MISC
players	NNS	pobj	O
and	CC	cc	O
they	PRP	nsubj	O
forget	VBP	conj	O
about	IN	prep	O
all	PDT	predet	O
the	DT	det	O
other	JJ	amod	O
players	NNS	pobj	O
,	,	punct	O
"	"	punct	O
said	VBD	ROOT	O
Stich	NNP	nsubj	B-PER
,	,	punct	O
who	WP	nsubj	O
lost	VBD	relcl	O
the	DT	det	O
1994	CD	nummod	O
Open	NNP	amod	B-MISC
final	JJ	dobj	O
to	TO	prep	O
Andre	VB	compound	B-PER
Agassi	NNP	pobj	I-PER
.	.	punct	O

Mohammed	NNP	compound	B-PER
Saleh	NNP	nsubj	I-PER
,	,	punct	O
director	NN	appos	O
of	IN	prep	O
the	DT	det	O
Egyptian	NNP	compound	B-MISC
Museum	NNP	pobj	O
,	,	punct	O
told	VBD	ROOT	O
Reuters	NNP	compound	B-ORG
television	NN	dobj	O
a	DT	det	O
U.S.	NNP	compound	B-LOC
team	NN	nsubj	O
found	VBD	ccomp	O
the	DT	det	O
pots	NNS	dobj	O
,	,	punct	O
some	DT	nsubj	O
of	IN	prep	O
which	WDT	pobj	O
contain	VBP	relcl	O
human	JJ	amod	O
intestines	NNS	dobj	O
,	,	punct	O
in	IN	prep	O
a	DT	det	O
tomb	NN	pobj	O
built	VBN	acl	O
into	IN	prep	O
the	DT	det	O
rocks	NNS	pobj	O
while	IN	mark	O
digging	VBG	advcl	O
in	IN	prep	O
Dahshour	NNP	pobj	B-LOC
,	,	punct	O
a	DT	det	O
village	NN	nmod	O
40	CD	nummod	O
km	NN	appos	O
(	(	punct	O
25	CD	nummod	O
miles	NNS	appos	O
)	)	punct	O
south	RB	advmod	O
of	IN	prep	O
Cairo	NNP	pobj	B-LOC
.	.	punct	O

Last	JJ	amod	O
week	NN	poss	O
's	POS	case	O
submissions	NNS	nsubj	O
to	TO	prep	O
the	DT	det	O
commission	NN	pobj	O
by	IN	prep	O
the	DT	det	O
ANC	NNP	pobj	B-ORG
,	,	punct	O
de	FW	compound	B-PER
Klerk	NNP	poss	I-PER
's	POS	case	O
National	NNP	compound	B-ORG
Party	NNP	nsubj	I-ORG
and	CC	cc	O
the	DT	det	O
right-wing	JJ	amod	O
Freedom	NNP	compound	B-ORG
Front	NNP	conj	I-ORG
of	IN	prep	O
General	NNP	compound	O
Constand	NNP	compound	B-PER
Viljoen	NNP	pobj	I-PER
left	VBD	ROOT	O
many	JJ	amod	O
South	NNPS	compound	B-MISC
Africans	NNPS	dobj	I-MISC
unsatisfied	JJ	oprd	O
.	.	punct	O

RTRS	NNS	compound	B-ORG
-	:	punct	O
Arthur	NNP	compound	B-ORG
Yates	NNP	compound	I-ORG
year	NN	npadvmod	O
net	NN	ROOT	O
A$	$	nmod	B-MISC
6.1	CD	nsubj	O
mln	NNS	ROOT	O
.	.	punct	O

