what	WP	dobj	O
northwest	JJ	amod	B-airline_name
flights	NNS	nsubj	O
stop	VBP	ROOT	O
in	IN	prep	O
denver	NN	pobj	B-stoploc.city_name

i'd	RB	neg	O
need	VB	ROOT	O
information	NN	nsubj	O
please	UH	ccomp	O
on	IN	prep	O
a	DT	det	O
flight	NN	pobj	O
from	IN	prep	O
washington	NN	pobj	B-fromloc.city_name
dc	NNP	nmod	B-fromloc.state_code
san	JJ	amod	B-fromloc.city_name
francisco	NN	compound	I-fromloc.city_name
california	NN	pobj	B-fromloc.state_name

find	VB	ROOT	O
travel	NN	compound	O
arrangements	NNS	dobj	O
for	IN	prep	O
a	DT	det	O
round	JJ	amod	B-round_trip
trip	NN	compound	I-round_trip
flight	NN	pobj	O
from	IN	prep	O
dallas	NNS	pobj	B-fromloc.city_name
to	IN	prep	O
pittsburgh	NN	pobj	B-toloc.city_name
arriving	VBG	acl	O
after	IN	prep	B-arrive_time.time_relative
8	CD	nummod	B-arrive_time.time
pm	NN	pobj	I-arrive_time.time

how	WRB	advmod	O
many	JJ	amod	O
flights	NNS	dobj	O
does	VBZ	aux	O
twa	NN	nsubj	B-airline_code
have	VB	ROOT	O
in	IN	prep	O
business	NN	compound	B-class_type
class	NN	pobj	I-class_type

what	WP	attr	O
are	VBP	ROOT	O
the	DT	det	O
evening	NN	compound	B-depart_time.period_of_day
flights	NNS	nsubj	O
flying	VBG	acl	O
out	IN	prep	O
of	IN	prep	O
dallas	NNS	pobj	B-fromloc.city_name
and	CC	cc	O
going	VBG	conj	O
to	TO	aux	O
san	VB	xcomp	B-toloc.city_name
francisco	NN	dobj	I-toloc.city_name
on	IN	prep	O
american	JJ	amod	B-airline_name
airlines	NNS	pobj	I-airline_name

i	PRP	nsubj	O
need	VBP	ROOT	O
a	DT	det	O
flight	NN	dobj	O
from	IN	prep	O
pittsburgh	NN	pobj	B-fromloc.city_name
to	IN	prep	O
los	NN	compound	B-toloc.city_name
angeles	NNS	pobj	I-toloc.city_name
