the	DT	det	O
name	NN	nsubj	O
of	IN	prep	O
a	DT	det	O
movie	NN	pobj	O
about	IN	prep	O
a	DT	det	B-Plot
guy	NN	pobj	I-Plot
who	WP	nsubj	I-Plot
s	VBZ	relcl	I-Plot
wife	NN	attr	I-Plot
died	VBD	ROOT	I-Plot
who	WP	nsubj	I-Plot
creates	VBZ	ccomp	I-Plot
a	DT	det	I-Plot
balloon	NN	nmod	I-Plot
carried	VBN	amod	I-Plot
house	NN	dobj	I-Plot

gabourey	NN	compound	B-Actor
sidibe	NN	nsubj	I-Actor
breaks	VBZ	ROOT	O
out	RP	prt	O
in	IN	prep	O
this	DT	det	O
2009	CD	nummod	B-Year
movie	NN	pobj	O
about	IN	prep	O
an	DT	det	B-Plot
overweight	NN	amod	I-Plot
and	CC	cc	I-Plot
illiterate	JJ	conj	I-Plot
black	JJ	amod	I-Plot
woman	NN	pobj	I-Plot
living	VBG	acl	I-Plot
in	IN	prep	I-Plot
harlem	NN	pobj	I-Plot

what	WP	attr	O
is	VBZ	ROOT	O
the	DT	det	O
movie	NN	nsubj	O
about	IN	prep	O
a	DT	det	B-Plot
us	PRP	compound	I-Plot
marshal	NN	pobj	I-Plot
who	WP	nsubj	I-Plot
helps	VBZ	relcl	I-Plot
a	DT	det	I-Plot
young	JJ	amod	I-Plot
woman	NN	nsubj	I-Plot
track	VB	ccomp	I-Plot
down	RP	prt	I-Plot
her	PRP$	poss	I-Plot
father	NN	poss	I-Plot
s	POS	case	I-Plot
killer	NN	dobj	I-Plot

a	DT	det	O
romantic	JJ	amod	B-Genre
movie	NN	ROOT	O
made	VBN	acl	O
by	IN	agent	O
shakespear	NN	pobj	B-Origin
which	WDT	nsubj	O
is	VBZ	relcl	O
very	RB	advmod	O
famous	JJ	acomp	B-Opinion
and	CC	cc	O
has	VBZ	conj	O
a	DT	det	O
sad	JJ	amod	B-Plot
ending	NN	dobj	I-Plot
of	IN	prep	I-Plot
the	DT	det	I-Plot
lovers	NNS	pobj	I-Plot
at	IN	prep	I-Plot
the	DT	det	I-Plot
end	NN	pobj	I-Plot

i	PRP	nsubj	O
am	VBP	aux	O
thinking	VBG	ROOT	O
of	IN	prep	O
the	DT	det	O
classic	JJ	amod	B-Genre
60	CD	nummod	B-Year
s	POS	nummod	I-Year
era	NN	compound	O
film	NN	pobj	O
that	WDT	nsubj	O
pairs	VBZ	relcl	O
jack	NN	compound	B-Actor
lemmon	NN	dobj	I-Actor
and	CC	cc	O
shirley	NN	compound	B-Actor
maclaine	NN	conj	I-Actor
as	IN	prep	O
two	CD	nummod	B-Plot
people	NNS	pobj	I-Plot
who	WP	nsubj	I-Plot
share	VBP	relcl	I-Plot
a	DT	det	I-Plot
new	JJ	amod	I-Plot
york	NN	compound	I-Plot
city	NN	dobj	I-Plot
dwelling	VBG	advcl	I-Plot

i	PRP	nsubj	O
am	VBP	aux	O
thinking	VBG	ROOT	O
of	IN	prep	O
the	DT	det	O
famous	JJ	amod	B-Opinion
60	CD	nummod	B-Year
s	POS	compound	I-Year
era	NN	compound	O
film	NN	pobj	O
that	WDT	nsubj	O
stars	VBZ	relcl	O
robert	JJ	compound	B-Actor
redford	NN	dobj	I-Actor
and	CC	cc	O
jane	NN	compound	B-Actor
fonda	NN	conj	I-Actor
as	IN	prep	O
a	DT	det	O
newlyweds	NNS	pobj	B-Plot
