who	WP	nsubj	O
directed	VBD	ROOT	O
laputa	JJ	amod	B-TITLE
castle	NN	dobj	I-TITLE
in	IN	prep	I-TITLE
the	DT	det	I-TITLE
sky	NN	pobj	I-TITLE

are	VBP	ROOT	O
there	EX	expl	O
any	DT	det	O
movies	NNS	attr	O
about	IN	prep	O
the	DT	det	O
navy	NN	pobj	B-PLOT
from	IN	prep	O
the	DT	det	O
last	JJ	amod	B-YEAR
ten	CD	nummod	I-YEAR
years	NNS	pobj	I-YEAR
that	WDT	nsubjpass	O
are	VBP	auxpass	O
rated	VBN	relcl	O
pg	NNS	oprd	B-RATING
13	CD	punct	I-RATING

what	WP	attr	O
is	VBZ	ROOT	O
the	DT	det	O
movie	NN	nsubj	O
a	DT	det	O
wonderful	JJ	amod	B-TITLE
world	NN	attr	I-TITLE

what	WDT	det	O
year	NN	nsubj	O
was	VBD	aux	O
blazing	VBG	ROOT	B-TITLE
saddles	NNS	dobj	I-TITLE
released	VBN	ROOT	O

when	WRB	advmod	O
will	MD	aux	O
the	DT	det	B-TITLE
dark	JJ	amod	I-TITLE
knight	NN	nsubj	I-TITLE
rises	VBZ	ROOT	I-TITLE
release	VB	xcomp	O
a	DT	det	O
new	JJ	amod	O
trailer	NN	dobj	B-TRAILER

what	WP	attr	O
was	VBD	ROOT	O
the	DT	det	O
best	JJS	amod	B-RATINGS_AVERAGE
action	NN	compound	B-GENRE
movie	NN	nsubj	O
that	WDT	nsubj	O
came	VBD	relcl	O
out	RP	prt	O
in	IN	prep	O
2006	CD	pobj	B-YEAR

find	VB	ROOT	O
a	DT	det	O
science	NN	compound	B-GENRE
fiction	NN	compound	I-GENRE
movie	NN	dobj	O
from	IN	prep	O
the	DT	det	O
1950s	NNS	pobj	B-YEAR

1990	CD	nsubj	B-YEAR
s	NNS	nmod	I-YEAR
r	NN	dep	B-RATING
rated	VBN	amod	O
mockumentary	NN	ROOT	B-GENRE
starring	VBG	acl	O
katherine	NN	compound	B-ACTOR
heigl	NN	dobj	I-ACTOR
that	WDT	nsubj	O
is	VBZ	ROOT	O
highly	RB	advmod	B-RATINGS_AVERAGE
recommended	VBN	acomp	I-RATINGS_AVERAGE

im	RB	dep	O
searching	VBG	ROOT	O
for	IN	prep	O
a	DT	det	O
film	NN	compound	B-GENRE
noir	NN	compound	I-GENRE
movie	NN	pobj	O
directed	VBN	acl	O
by	IN	agent	O
lucy	NN	pobj	B-DIRECTOR
akhurst	RB	advmod	I-DIRECTOR

what	WP	dobj	O
1960	CD	nummod	B-YEAR
film	NN	compound	B-GENRE
noir	NN	nsubj	I-GENRE
stars	VBZ	ROOT	O
danny	NN	compound	B-ACTOR
devito	NN	dobj	I-ACTOR
and	CC	cc	O
averages	VBZ	conj	O
a	DT	det	O
rating	NN	dobj	O
of	IN	prep	O
four	CD	pobj	B-RATINGS_AVERAGE

what	WDT	det	O
movies	NNS	dobj	O
did	VBD	aux	O
james	NNS	nsubj	B-ACTOR
spader	VB	ROOT	I-ACTOR
release	VB	dobj	O
within	IN	prep	O
the	DT	det	O
last	JJ	amod	B-YEAR
four	CD	nummod	I-YEAR
years	NNS	pobj	I-YEAR

who	WP	nsubj	O
starred	VBD	ROOT	O
in	IN	prep	O
the	DT	det	B-TITLE
shining	VBG	pobj	I-TITLE

who	WP	nsubj	O
directed	VBD	ROOT	O
primal	JJ	amod	B-TITLE
rage	NN	dobj	I-TITLE

any	DT	det	O
movies	NNS	ROOT	O
starring	VBG	acl	O
dianne	NN	compound	B-ACTOR
keaton	NN	dobj	I-ACTOR
with	IN	prep	O
a	DT	det	O
pg	NN	compound	B-RATING
rating	NN	pobj	O

what	WP	det	O
sport	NN	compound	B-GENRE
movie	NN	nsubj	O
did	VBD	ROOT	O
delta	NN	compound	B-ACTOR
burke	NN	compound	I-ACTOR
star	NN	dobj	O
in	IN	prep	O
in	IN	prep	O
1950	CD	pobj	B-YEAR

i	PRP	nsubj	O
like	VBP	ROOT	O
to	TO	aux	O
watch	VB	xcomp	O
the	DT	det	B-TITLE
clown	NN	compound	I-TITLE
murders	NNS	dobj	I-TITLE
when	WRB	advmod	O
was	VBD	advcl	O
it	PRP	nsubj	O
released	VBN	ROOT	O

find	VB	ROOT	O
the	DT	det	O
movie	NN	dobj	O
with	IN	prep	O
gloria	NN	compound	B-ACTOR
grahame	NN	compound	I-ACTOR
lana	NN	compound	I-ACTOR
turner	NN	pobj	I-ACTOR
and	CC	cc	O
kirk	VB	compound	B-ACTOR
douglas	NNS	ROOT	I-ACTOR

in	IN	prep	O
the	DT	det	O
1980	CD	nummod	B-YEAR
s	POS	pobj	I-YEAR
was	VBD	ROOT	O
alec	JJ	amod	B-ACTOR
guiness	NN	attr	I-ACTOR
in	IN	prep	O
a	DT	det	O
film	NN	compound	B-GENRE
noir	NN	pobj	I-GENRE
that	WDT	nsubj	O
received	VBD	relcl	O
seven	CD	nummod	B-RATINGS_AVERAGE
stars	NNS	dobj	I-RATINGS_AVERAGE

what	WP	attr	O
is	VBZ	ROOT	O
the	DT	det	O
movie	NN	nsubj	O
the	DT	det	O
ice	NN	compound	B-TITLE
cream	NN	compound	I-TITLE
man	NN	ROOT	I-TITLE

are	VBP	ROOT	O
there	EX	expl	O
any	DT	det	O
dinosaur	NN	compound	B-PLOT
movies	NNS	attr	O
for	IN	prep	O
kids	NNS	pobj	B-GENRE

is	VBZ	ROOT	O
there	EX	expl	O
a	DT	det	O
violence	NN	compound	B-GENRE
movie	NN	attr	O
with	IN	prep	O
experiments	NNS	pobj	B-PLOT

what	WP	attr	O
is	VBZ	ROOT	O
a	DT	det	O
really	RB	advmod	B-REVIEW
good	JJ	amod	I-REVIEW
romance	NN	compound	B-GENRE
movie	NN	nsubj	O
from	IN	prep	O
the	DT	det	O
1990s	CD	pobj	B-YEAR

find	VB	ROOT	O
me	PRP	dobj	O
the	DT	det	O
latest	JJS	amod	B-YEAR
movie	NN	ROOT	O
released	VBN	acl	O
that	WDT	nsubj	O
has	VBZ	relcl	O
jeremy	NN	compound	B-ACTOR
renner	NN	dobj	I-ACTOR
in	IN	prep	O
it	PRP	pobj	O

what	WDT	det	O
rating	NN	dobj	B-RATINGS_AVERAGE
did	VBD	aux	O
viwers	NNS	dobj	O
give	VB	ROOT	O
the	DT	det	O
film	NN	dobj	O
why	WRB	advmod	B-TITLE
did	VBD	aux	I-TITLE
i	PRP	nsubj	I-TITLE
get	VB	auxpass	I-TITLE
married	VBN	ROOT	I-TITLE

are	VBP	ROOT	O
there	EX	expl	O
any	DT	det	O
good	JJ	amod	B-REVIEW
horror	NN	compound	B-GENRE
movies	NNS	attr	O
that	WDT	nsubj	O
came	VBD	relcl	O
out	RP	prt	O
last	JJ	amod	O
week	NN	npadvmod	O

what	WP	attr	O
is	VBZ	ROOT	O
the	DT	det	O
movie	NN	compound	O
triangle	NN	nsubj	B-TITLE

who	WP	nsubj	O
directed	VBD	ROOT	O
mean	JJ	amod	B-TITLE
girls	NNS	dobj	I-TITLE

what	WP	attr	O
is	VBZ	ROOT	O
the	DT	det	O
funniest	NN	compound	O
movie	NN	nsubj	O
that	WDT	pobj	O
jim	NNP	compound	B-ACTOR
carrey	NN	nsubj	I-ACTOR
was	VBD	relcl	O
in	IN	prep	O

is	VBZ	ROOT	O
there	EX	expl	O
a	DT	det	O
biographical	JJ	amod	B-GENRE
film	NN	attr	O
directed	VBN	acl	O
by	IN	agent	O
charles	JJ	compound	B-DIRECTOR
chaplin	NN	pobj	I-DIRECTOR

did	VBD	aux	O
james	NNS	amod	B-ACTOR
horan	JJ	amod	I-ACTOR
act	NN	dobj	O
in	IN	prep	O
an	DT	det	O
eight	CD	nummod	B-RATINGS_AVERAGE
star	NN	pobj	O
pg	RB	npadvmod	B-RATING
rated	VBN	ROOT	O
film	NN	compound	B-GENRE
noir	NN	compound	I-GENRE
movie	NN	dobj	O
in	IN	prep	O
1970	CD	pobj	B-YEAR

what	WP	dobj	O
five	CD	nummod	B-RATINGS_AVERAGE
star	NN	nsubj	O
rated	VBN	csubj	O
thriller	NN	oprd	B-GENRE
directed	VBN	acl	O
by	IN	agent	O
dover	JJ	amod	B-DIRECTOR
koshashvili	NN	pobj	I-DIRECTOR
is	VBZ	ROOT	O
unrated	JJ	acomp	B-RATING

im	UH	nsubj	O
interested	JJ	amod	O
in	IN	prep	O
a	DT	pobj	O
must	MD	aux	B-RATINGS_AVERAGE
see	VB	ROOT	I-RATINGS_AVERAGE
western	JJ	advmod	B-GENRE
directed	VBN	advcl	O
by	IN	agent	O
george	NN	compound	B-DIRECTOR
lucas	JJ	amod	I-DIRECTOR
thats	NNS	pobj	O
rated	VBN	acl	O
r	NN	oprd	B-RATING

get	VB	ROOT	O
a	DT	det	O
yul	NN	advmod	B-ACTOR
brenner	NN	advmod	I-ACTOR
musical	JJ	amod	B-GENRE
flick	NN	dobj	I-GENRE

did	VBD	aux	O
woody	NN	nsubj	B-DIRECTOR
allen	VB	ROOT	I-DIRECTOR
direct	VB	advcl	O
any	DT	det	O
comedies	NNS	dobj	B-GENRE
that	WDT	nsubjpass	O
were	VBD	auxpass	O
considered	VBN	relcl	O
classic	JJ	oprd	B-REVIEW

which	WDT	det	O
movie	NN	nsubjpass	O
was	VBD	auxpass	O
nominated	VBN	ROOT	O
for	IN	prep	O
best	JJS	amod	B-REVIEW
actor	NN	pobj	I-REVIEW
in	IN	prep	O
1995	CD	pobj	B-YEAR

which	WDT	det	O
movie	NN	nsubjpass	O
starring	VBG	acl	O
jason	NN	compound	B-ACTOR
london	NN	dobj	I-ACTOR
was	VBD	auxpass	B-RATINGS_AVERAGE
liked	VBN	ROOT	I-RATINGS_AVERAGE
a	DT	det	I-RATINGS_AVERAGE
lot	NN	npadvmod	I-RATINGS_AVERAGE
within	IN	prep	O
the	DT	det	O
past	JJ	amod	B-YEAR
ten	CD	nummod	I-YEAR
years	NNS	pobj	I-YEAR

did	VBD	aux	O
andrew	VBN	ROOT	B-DIRECTOR
cymek	NN	dobj	I-DIRECTOR
direct	VB	advcl	O
a	DT	det	O
pg	NN	nmod	B-RATING
13	CD	nummod	I-RATING
film	NN	compound	B-GENRE
noir	NN	compound	I-GENRE
movie	NN	dobj	O
in	IN	prep	O
1980	CD	pobj	B-YEAR

does	VBZ	aux	O
dougray	VB	ROOT	B-ACTOR
scott	NN	compound	I-ACTOR
star	NN	dobj	O
in	IN	prep	O
a	DT	det	O
child	NN	compound	B-GENRE
film	NN	pobj	O
about	IN	prep	O
love	NN	pobj	B-PLOT
at	IN	prep	I-PLOT
first	JJ	amod	I-PLOT
sight	NN	pobj	I-PLOT
with	IN	prep	O
a	DT	det	O
rating	NN	pobj	O
of	IN	prep	O
eight	CD	pobj	B-RATINGS_AVERAGE
out	IN	prep	O
of	IN	prep	O
ten	CD	pobj	O
released	VBN	acl	O
in	IN	prep	O
the	DT	det	O
past	JJ	amod	B-YEAR
ten	CD	nummod	I-YEAR
years	NNS	pobj	I-YEAR

show	VB	ROOT	O
me	PRP	dative	O
a	DT	det	O
recent	JJ	amod	O
movie	NN	dobj	O
with	IN	prep	O
leonardo	NN	compound	B-ACTOR
dicaprio	NN	pobj	I-ACTOR

what	WDT	det	O
movie	NN	nsubj	O
came	VBD	ROOT	O
out	RP	prt	O
in	IN	prep	O
2010	CD	pobj	B-YEAR
that	WDT	nsubj	O
had	VBD	aux	O
buzz	NN	relcl	B-CHARACTER
lightyear	JJ	dobj	I-CHARACTER
and	CC	cc	O
mr	NN	conj	B-CHARACTER
potato	NN	compound	I-CHARACTER
head	NN	ROOT	I-CHARACTER

when	WRB	advmod	O
did	VBD	aux	O
not	RB	neg	B-TITLE
another	DT	det	I-TITLE
teen	NN	compound	I-TITLE
movie	NN	nsubj	I-TITLE
come	VBP	ROOT	B-YEAR
out	RP	prt	I-YEAR

list	NN	compound	O
movies	NNS	ROOT	O
with	IN	prep	O
robert	JJ	amod	B-ACTOR
duvall	NN	pobj	I-ACTOR

