EU	NNP	nsubj	B-ORG
rejects	VBZ	ROOT	O
German	JJ	amod	B-MISC
call	NN	dobj	O
to	TO	aux	O
boycott	VB	xcomp	O
British	JJ	amod	B-MISC
lamb	NN	dobj	O
.	.	punct	O

Peter	NNP	compound	B-PER
Blackburn	NNP	ROOT	I-PER

BRUSSELS	NNP	compound	B-LOC
1996-08-22	CD	ROOT	O

The	DT	det	O
European	NNP	compound	B-ORG
Commission	NNP	nsubj	I-ORG
said	VBD	ROOT	O
on	IN	prep	O
Thursday	NNP	pobj	O
it	PRP	nsubj	O
disagreed	VBD	ccomp	O
with	IN	prep	O
German	JJ	amod	B-MISC
advice	NN	pobj	O
to	TO	prep	O
consumers	NNS	pobj	O
to	TO	aux	O
shun	VB	advcl	O
British	JJ	amod	B-MISC
lamb	NN	dobj	O
until	IN	mark	O
scientists	NNS	nsubj	O
determine	VBP	advcl	O
whether	IN	mark	O
mad	JJ	amod	O
cow	NN	compound	O
disease	NN	nsubjpass	O
can	MD	aux	O
be	VB	auxpass	O
transmitted	VBN	ccomp	O
to	TO	prep	O
sheep	NN	pobj	O
.	.	punct	O

Germany	NNP	poss	B-LOC
's	POS	case	O
representative	NN	nsubj	O
to	TO	prep	O
the	DT	det	O
European	NNP	compound	B-ORG
Union	NNP	poss	I-ORG
's	POS	case	O
veterinary	JJ	amod	O
committee	NN	pobj	O
Werner	NNP	compound	B-PER
Zwingmann	NNP	nsubj	I-PER
said	VBD	ROOT	O
on	IN	prep	O
Wednesday	NNP	pobj	O
consumers	NNS	nsubj	O
should	MD	aux	O
buy	VB	ccomp	O
sheepmeat	NN	dobj	O
from	IN	prep	O
countries	NNS	pobj	O
other	JJ	amod	O
than	IN	prep	O
Britain	NNP	pobj	B-LOC
until	IN	mark	O
the	DT	det	O
scientific	JJ	amod	O
advice	NN	nsubj	O
was	VBD	advcl	O
clearer	JJR	acomp	O
.	.	punct	O

"	"	punct	O
We	PRP	nsubj	O
do	VBP	aux	O
n't	RB	neg	O
support	VB	ccomp	O
any	DT	det	O
such	JJ	amod	O
recommendation	NN	dobj	O
because	IN	mark	O
we	PRP	nsubj	O
do	VBP	aux	O
n't	RB	neg	O
see	VB	advcl	O
any	DT	det	O
grounds	NNS	dobj	O
for	IN	prep	O
it	PRP	pobj	O
,	,	punct	O
"	"	punct	O
the	DT	det	O
Commission	NNP	poss	B-ORG
's	POS	case	O
chief	JJ	amod	O
spokesman	NN	nsubj	O
Nikolaus	NNP	compound	B-PER
van	NNP	compound	I-PER
der	FW	compound	I-PER
Pas	NNP	appos	I-PER
told	VBD	ROOT	O
a	DT	det	O
news	NN	compound	O
briefing	NN	dobj	O
.	.	punct	O

He	PRP	nsubj	O
said	VBD	ROOT	O
further	JJ	amod	O
scientific	JJ	amod	O
study	NN	nsubjpass	O
was	VBD	auxpass	O
required	VBN	ccomp	O
and	CC	cc	O
if	IN	mark	O
it	PRP	nsubjpass	O
was	VBD	auxpass	O
found	VBN	conj	O
that	IN	mark	O
action	NN	nsubjpass	O
was	VBD	auxpass	O
needed	VBN	ccomp	O
it	PRP	nsubjpass	O
should	MD	aux	O
be	VB	auxpass	O
taken	VBN	ccomp	O
by	IN	agent	O
the	DT	det	O
European	NNP	compound	B-ORG
Union	NNP	pobj	I-ORG
.	.	punct	O

He	PRP	nsubj	O
said	VBD	ROOT	O
a	DT	det	O
proposal	NN	dobj	O
last	JJ	amod	O
month	NN	npadvmod	O
by	IN	agent	O
EU	NNP	compound	B-ORG
Farm	NNP	compound	O
Commissioner	NNP	compound	O
Franz	NNP	compound	B-PER
Fischler	NNP	pobj	I-PER
to	TO	aux	O
ban	VB	advcl	O
sheep	NN	compound	O
brains	NNS	dobj	O
,	,	punct	O
spleens	NNS	conj	O
and	CC	cc	O
spinal	JJ	conj	O
cords	NNS	appos	O
from	IN	prep	O
the	DT	det	O
human	NN	amod	O
and	CC	cc	O
animal	NN	conj	O
food	NN	compound	O
chains	NNS	pobj	O
was	VBD	ccomp	O
a	DT	det	O
highly	RB	advmod	O
specific	JJ	amod	O
and	CC	cc	O
precautionary	JJ	conj	O
move	NN	attr	O
to	TO	aux	O
protect	VB	acl	O
human	JJ	amod	O
health	NN	dobj	O
.	.	punct	O

Fischler	JJR	nsubj	B-PER
proposed	VBN	ROOT	O
EU-wide	NNP	amod	B-MISC
measures	VBZ	dobj	O
after	IN	prep	O
reports	NNS	pobj	O
from	IN	prep	O
Britain	NNP	pobj	B-LOC
and	CC	cc	O
France	NNP	conj	B-LOC
that	WDT	mark	O
under	IN	prep	O
laboratory	NN	compound	O
conditions	NNS	compound	O
sheep	NN	pobj	O
could	MD	aux	O
contract	VB	acl	O
Bovine	NNP	compound	B-MISC
Spongiform	NNP	dobj	I-MISC
Encephalopathy	NNP	appos	I-MISC
(	(	punct	O
BSE	NNP	appos	B-MISC
)	)	punct	O
--	:	punct	O
mad	JJ	amod	O
cow	NN	compound	O
disease	NN	appos	O
.	.	punct	O

But	CC	cc	O
Fischler	NNP	nsubj	B-PER
agreed	VBD	ROOT	O
to	TO	aux	O
review	VB	xcomp	O
his	PRP$	poss	O
proposal	NN	dobj	O
after	IN	mark	O
the	DT	det	O
EU	NNP	poss	B-ORG
's	POS	case	O
standing	NN	amod	O
veterinary	JJ	amod	O
committee	NN	nsubj	O
,	,	punct	O
mational	JJ	amod	O
animal	NN	compound	O
health	NN	compound	O
officials	NNS	appos	O
,	,	punct	O
questioned	VBD	advcl	O
if	IN	mark	O
such	JJ	amod	O
action	NN	nsubj	O
was	VBD	auxpass	O
justified	VBN	ccomp	O
as	IN	mark	O
there	RB	expl	O
was	VBD	advcl	O
only	RB	advmod	O
a	DT	det	O
slight	JJ	amod	O
risk	NN	attr	O
to	TO	prep	O
human	JJ	amod	O
health	NN	pobj	O
.	.	punct	O

Spanish	NNP	amod	B-MISC
Farm	NNP	compound	O
Minister	NNP	compound	O
Loyola	NNP	compound	B-PER
de	NNP	compound	I-PER
Palacio	NNP	nsubj	I-PER
had	VBD	aux	O
earlier	RBR	advmod	O
accused	VBN	ROOT	O
Fischler	NNP	dobj	B-PER
at	IN	prep	O
an	DT	det	O
EU	JJ	compound	B-ORG
farm	NN	compound	O
ministers	NNS	poss	O
'	POS	case	O
meeting	NN	pobj	O
of	IN	prep	O
causing	VBG	pcomp	O
unjustified	JJ	amod	O
alarm	NN	dobj	O
through	IN	prep	O
"	"	punct	O
dangerous	JJ	amod	O
generalisation	NN	pobj	O
.	.	punct	O
"	"	punct	O

.	.	ROOT	O

Only	RB	advmod	O
France	NNP	nsubj	B-LOC
and	CC	cc	O
Britain	NNP	conj	B-LOC
backed	VBD	ROOT	O
Fischler	NNP	poss	B-PER
's	POS	case	O
proposal	NN	dobj	O
.	.	punct	O

The	DT	det	O
EU	NNP	poss	B-ORG
's	POS	case	O
scientific	JJ	amod	O
veterinary	JJ	amod	O
and	CC	cc	O
multidisciplinary	JJ	conj	O
committees	NNS	nsubj	O
are	VBP	ROOT	O
due	JJ	acomp	O
to	TO	aux	O
re-examine	VB	xcomp	O
the	DT	det	O
issue	NN	dobj	O
early	RB	advmod	O
next	JJ	amod	O
month	NN	npadvmod	O
and	CC	cc	O
make	VB	conj	O
recommendations	NNS	dobj	O
to	TO	prep	O
the	DT	det	O
senior	JJ	amod	O
veterinary	JJ	amod	O
officials	NNS	pobj	O
.	.	punct	O

Sheep	NNP	nsubjpass	O
have	VBP	aux	O
long	RB	advmod	O
been	VBN	auxpass	O
known	VBN	ROOT	O
to	TO	prep	O
contract	NN	compound	O
scrapie	NN	pobj	O
,	,	punct	O
a	DT	det	O
brain-wasting	JJ	amod	O
disease	NN	appos	O
similar	JJ	amod	O
to	TO	prep	O
BSE	NNP	pobj	B-MISC
which	WDT	nsubjpass	O
is	VBZ	auxpass	O
believed	VBN	relcl	O
to	TO	aux	O
have	VB	aux	O
been	VBN	auxpass	O
transferred	VBN	xcomp	O
to	TO	aux	O
cattle	NNS	advcl	O
through	IN	prep	O
feed	NN	npadvmod	O
containing	VBG	amod	O
animal	NN	compound	O
waste	NN	pobj	O
.	.	punct	O

British	JJ	amod	B-MISC
farmers	NNS	nsubj	O
denied	VBN	ROOT	O
on	IN	prep	O
Thursday	NNP	pobj	O
there	EX	expl	O
was	VBD	ccomp	O
any	DT	det	O
danger	NN	attr	O
to	TO	prep	O
human	JJ	amod	O
health	NN	pobj	O
from	IN	prep	O
their	PRP$	poss	O
sheep	NN	pobj	O
,	,	punct	O
but	CC	cc	O
expressed	VBD	conj	O
concern	NN	dobj	O
that	IN	mark	O
German	JJ	amod	B-MISC
government	NN	compound	O
advice	NN	nsubj	O
to	TO	prep	O
consumers	NNS	pobj	O
to	TO	aux	O
avoid	VB	relcl	O
British	JJ	amod	B-MISC
lamb	NN	dobj	O
might	MD	aux	O
influence	VB	acl	O
consumers	NNS	dobj	O
across	IN	prep	O
Europe	NNP	pobj	B-LOC
.	.	punct	O

"	"	punct	O
What	WP	dobj	O
we	PRP	nsubj	O
have	VBP	csubj	O
