can	MD	aux	O
you	PRP	nsubj	O
find	VB	ROOT	O
me	PRP	nsubj	O
a	DT	det	O
restaurant	NN	ccomp	O
that	WDT	nsubj	O
is	VBZ	relcl	O
near	IN	prep	B-Location
me	PRP	pobj	I-Location

show	VBP	ROOT	O
me	PRP	dative	O
five	CD	nummod	B-Rating
star	NN	nmod	I-Rating
french	JJ	amod	B-Cuisine
restaurants	NNS	dobj	O
within	IN	prep	B-Location
an	DT	det	I-Location
hour	NN	pobj	I-Location
of	IN	prep	O
here	RB	pcomp	O

where	WRB	advmod	O
can	MD	aux	O
i	PRP	nsubj	O
get	VB	ROOT	O
breakfast	NN	compound	B-Dish
links	NNS	dobj	I-Dish
and	CC	cc	O
bacon	NN	conj	B-Dish

it	PRP	ROOT	O
there	RB	advmod	O
an	DT	det	O
italian	JJ	amod	B-Cuisine
bistro	NN	appos	B-Amenity
in	IN	prep	B-Location
my	PRP$	poss	I-Location
area	NN	pobj	I-Location

where	WRB	advmod	O
is	VBZ	ROOT	O
a	DT	det	O
restaurant	NN	nsubj	O
with	IN	prep	O
great	JJ	amod	B-Rating
soup	NN	pobj	B-Dish
and	CC	cc	O
easy	JJ	conj	B-Amenity
parking	NN	ROOT	I-Amenity

are	VBP	ROOT	O
there	EX	expl	O
any	DT	det	O
authentic	JJ	amod	B-Cuisine
greek	JJ	compound	I-Cuisine
restaurants	NNS	attr	O
that	WDT	nsubj	O
serve	VBP	relcl	O
gyros	NNS	dobj	B-Dish
around	IN	prep	B-Location
here	RB	pcomp	I-Location

does	VBZ	aux	O
that	DT	nsubj	O
steak	VB	ROOT	B-Cuisine
restaurant	NN	dobj	O
on	IN	prep	O
oak	NN	compound	B-Location
avenue	NN	pobj	I-Location
have	VBP	ccomp	O
a	DT	det	O
childrens	NNS	nsubj	B-Amenity
menu	VB	ROOT	I-Amenity

whats	VBZ	ROOT	O
the	DT	det	O
best	JJS	amod	B-Rating
restaurant	NN	dobj	O
nearby	RB	advmod	B-Location

i	PRP	nsubj	O
need	VBP	ROOT	O
a	DT	det	O
fast	JJ	amod	B-Cuisine
food	NN	compound	I-Cuisine
place	NN	dobj	O
within	IN	prep	B-Location
1	CD	nummod	I-Location
mile	NN	npadvmod	I-Location
walking	NN	compound	I-Location
distance	NN	pobj	I-Location

what	WP	attr	O
is	VBZ	ROOT	O
a	DT	det	O
good	JJ	amod	B-Rating
restaurant	NN	nsubj	O
on	IN	prep	B-Amenity
the	DT	det	O
waterfront	NN	pobj	B-Location

help	VB	ROOT	O
me	PRP	nsubj	O
get	VB	ccomp	O
an	DT	det	O
omlet	NN	dobj	B-Dish

is	VBZ	ROOT	O
there	EX	expl	O
any	DT	det	O
restaurant	NN	attr	O
in	IN	prep	B-Location
the	DT	det	I-Location
vicinity	NN	pobj	I-Location
has	VBZ	ccomp	O
a	DT	det	O
smoking	NN	compound	B-Amenity
area	NN	dobj	I-Amenity

take	VB	ROOT	O
me	PRP	dobj	O
to	IN	prep	O
the	DT	det	O
cheapest	JJS	amod	B-Price
pizza	NN	compound	B-Cuisine
place	NN	pobj	O
that	WDT	nsubj	O
has	VBZ	relcl	O
anchovies	NNS	dobj	B-Dish

can	MD	aux	O
you	PRP	nsubj	O
show	VB	ROOT	O
me	PRP	dobj	O
to	IN	prep	O
a	DT	det	O
