i	PRP	nsubj	O
am	VBP	aux	O
thinking	VBG	ROOT	O
of	IN	prep	O
the	DT	det	O
classic	JJ	amod	B-Genre
sydney	NN	compound	B-Actor
poitier	NN	compound	I-Actor
film	NN	pobj	O
where	WRB	advmod	O
he	PRP	nsubj	O
originated	VBD	relcl	O
the	DT	det	O
role	NN	dobj	O
of	IN	prep	O
detective	NN	amod	O
virgil	JJ	amod	B-Character_Name
tibbs	NN	pobj	I-Character_Name

what	WP	attr	O
is	VBZ	ROOT	O
the	DT	det	O
name	NN	nsubj	O
of	IN	prep	O
the	DT	det	O
hitchcock	NN	compound	B-Origin
classic	NN	pobj	B-Opinion
that	WDT	nsubj	O
features	VBZ	relcl	O
a	DT	det	B-Plot
villain	NN	dobj	I-Plot
who	WP	nsubj	I-Plot
has	VBZ	aux	I-Plot
kept	VBN	relcl	I-Plot
his	PRP$	poss	I-Plot
mother	NN	dobj	I-Plot
in	IN	prep	I-Plot
their	PRP$	poss	I-Plot
home	NN	pobj	I-Plot
long	RB	advmod	I-Plot
after	IN	mark	I-Plot
she	PRP	nsubj	I-Plot
s	VBZ	advcl	I-Plot
died	VBN	ROOT	I-Plot

based	VBN	prep	B-Origin
on	IN	prep	I-Origin
the	DT	det	I-Origin
tennessee	NN	compound	I-Origin
williams	NNS	pobj	I-Origin
play	VB	ROOT	I-Origin
this	DT	det	O
story	NN	dobj	O
of	IN	prep	O
a	DT	det	B-Plot
fragile	JJ	amod	I-Plot
woman	NN	pobj	I-Plot
named	VBN	acl	I-Plot
blanche	NN	compound	B-Character_Name
dubois	NN	oprd	I-Character_Name
who	WP	nsubj	B-Plot
moves	VBZ	relcl	I-Plot
in	RP	prt	I-Plot
with	IN	prep	I-Plot
her	PRP$	poss	I-Plot
sister	NN	pobj	I-Plot
and	CC	cc	I-Plot
brother	NN	conj	I-Plot
in	IN	prep	I-Plot
law	NN	pobj	I-Plot
and	CC	cc	I-Plot
watches	NNS	conj	I-Plot
reality	NN	dobj	I-Plot
disappear	VBP	ROOT	I-Plot

what	WP	dobj	O
1976	CD	nummod	B-Year
clint	NN	compound	B-Actor
eastwood	NN	compound	I-Actor
movie	NN	nsubj	O
starring	VBG	acl	O
sandra	NNS	compound	B-Actor
locke	NNS	dobj	I-Actor
revolved	VBD	ROOT	B-Plot
around	IN	prep	I-Plot
a	DT	det	I-Plot
farmer	NN	pobj	I-Plot
becoming	VBG	advcl	I-Plot
a	DT	det	I-Plot
confederate	JJ	amod	I-Plot
guerrilla	NN	attr	I-Plot

what	WP	attr	O
is	VBZ	ROOT	O
the	DT	det	O
2012	CD	nummod	B-Year
action	NN	compound	B-Genre
film	NN	nsubj	O
about	IN	prep	O
the	DT	det	B-Plot
navy	NN	pobj	I-Plot
fighting	VBG	acl	I-Plot
against	IN	prep	I-Plot
an	DT	det	I-Plot
evil	JJ	amod	I-Plot
alien	JJ	amod	I-Plot
race	NN	pobj	I-Plot

robert	NN	compound	B-Actor
duvall	NN	nsubj	I-Actor
is	VBZ	ROOT	O
bank	NN	compound	O
robber	NN	compound	O
outlaw	NN	compound	O
jesse	NN	compound	B-Character_Name
james	NNS	attr	I-Character_Name
in	IN	prep	O
this	DT	det	O
movie	NN	pobj	O
about	IN	prep	O
a	DT	det	B-Plot
bank	NN	compound	I-Plot
robbery	NN	pobj	I-Plot
gone	VBD	ccomp	I-Plot
wrong	RB	advmod	I-Plot

what	WP	dobj	O
1991	CD	nummod	B-Year
movie	NN	nsubj	O
features	VBZ	ROOT	O
susan	JJ	amod	B-Actor
sarandon	NN	dobj	I-Actor
and	CC	cc	O
geena	NN	compound	B-Actor
davis	NN	conj	I-Actor
as	IN	prep	O
friends	NNS	pobj	B-Plot
who	WP	nsubj	I-Plot
go	VBP	relcl	I-Plot
on	IN	prep	I-Plot
an	DT	det	I-Plot
epic	JJ	amod	I-Plot
road	NN	compound	I-Plot
trip	NN	pobj	I-Plot

in	IN	ROOT	O
what	WP	dative	O
1987	CD	nummod	B-Year
science	NN	compound	B-Genre
fiction	NN	compound	I-Genre
film	NN	nsubj	O
by	IN	prep	O
paul	NN	compound	B-Director
verhoeven	NN	pobj	I-Director
contains	VBZ	pcomp	O
the	DT	det	O
line	NN	dobj	O
dead	JJ	amod	B-Quote
or	CC	cc	I-Quote
alive	JJ	conj	I-Quote
you	PRP	nsubj	I-Quote
re	VBP	ROOT	I-Quote
coming	VBG	xcomp	I-Quote
with	IN	prep	I-Quote
me	PRP	pobj	I-Quote

i	PRP	nsubj	O
am	VBP	aux	O
thinking	VBG	ROOT	O
of	IN	prep	O
the	DT	det	O
charlton	NN	pobj	B-Actor
heston	NN	nmod	I-Actor
epic	JJ	amod	B-Opinion
film	NN	dobj	O
about	IN	prep	O
a	DT	det	B-Plot
wealthy	JJ	amod	I-Plot
prince	NN	pobj	I-Plot
who	WP	nsubjpass	I-Plot
is	VBZ	auxpass	I-Plot
reduced	VBN	relcl	I-Plot
to	IN	prep	I-Plot
a	DT	det	I-Plot
slave	NN	pobj	I-Plot
and	CC	cc	I-Plot
witnesses	VBZ	conj	I-Plot
the	DT	det	I-Plot
miracle	NN	dobj	I-Plot
of	IN	prep	I-Plot
jesus	NNP	pobj	I-Plot

what	WP	attr	O
is	VBZ	ROOT	O
the	DT	det	O
name	NN	nsubj	O
of	IN	prep	O
the	DT	det	O
2010	CD	nummod	B-Year
psychological	JJ	amod	B-Genre
thriller	NN	pobj	I-Genre
directed	VBN	acl	O
by	IN	agent	O
darren	NNS	compound	B-Director
aronofsky	NN	pobj	I-Director
and	CC	cc	O
starring	VBG	conj	O
natalie	NN	compound	B-Actor
portman	NN	dobj	I-Actor

what	WP	attr	O
is	VBZ	ROOT	O
the	DT	det	O
name	NN	nsubj	O
of	IN	prep	O
the	DT	det	O
movie	NN	pobj	O
in	IN	prep	O
which	WDT	pobj	O
the	DT	det	O
characters	NNS	nsubj	O
give	VBP	relcl	O
themselves	PRP	dative	O
the	DT	det	O
nicknames	NNS	dobj	O
of	IN	prep	O
hit	VBN	amod	B-Character_Name
girl	NN	pobj	I-Character_Name
big	JJ	amod	I-Character_Name
daddy	NN	nmod	I-Character_Name
and	CC	cc	O
red	JJ	conj	B-Character_Name
mist	NN	pobj	I-Character_Name

what	WP	dobj	O
1947	CD	nummod	B-Year
film	NN	nsubj	O
concerned	VBD	ROOT	B-Plot
a	DT	det	I-Plot
man	NN	dobj	I-Plot
who	WP	nsubj	I-Plot
claimed	VBD	relcl	I-Plot
to	TO	aux	I-Plot
be	VB	xcomp	I-Plot
santa	NN	compound	I-Plot
claus	NN	attr	I-Plot
a	DT	det	I-Plot
claim	NN	dobj	I-Plot
that	WDT	nsubjpass	I-Plot
was	VBD	auxpass	I-Plot
ultimately	RB	advmod	I-Plot
resolved	VBN	relcl	I-Plot
in	IN	prep	I-Plot
court	NN	pobj	I-Plot

name	VB	ROOT	O
the	DT	det	O
movie	NN	dobj	O
where	WRB	advmod	O
audrey	NN	nsubj	B-Actor
hepburn	VBP	relcl	I-Actor
played	VBN	oprd	O
guitar	NN	dobj	B-Plot
on	IN	prep	I-Plot
the	DT	det	I-Plot
fire	NN	compound	I-Plot
escape	NN	pobj	I-Plot
and	CC	cc	I-Plot
was	VBD	conj	I-Plot
married	JJ	acomp	I-Plot
to	TO	aux	O
buddy	VB	aux	B-Actor
ebsen	VB	conj	I-Actor

find	VB	ROOT	O
a	DT	det	O
movie	NN	dobj	O
starring	VBG	acl	O
ron	NN	compound	B-Actor
livingston	NN	dobj	I-Actor
and	CC	cc	O
jennifer	VB	conj	B-Actor
aniston	NN	dobj	I-Actor
which	WDT	nsubj	O
pokes	VBZ	relcl	B-Plot
fun	NN	dobj	I-Plot
at	IN	prep	I-Plot
