please	UH	intj	O
help	VB	ROOT	O
me	PRP	nsubj	O
find	VB	ccomp	O
a	DT	det	O
mcdonalds	NNS	dobj	B-Restaurant_Name
in	IN	prep	O
mexico	NN	compound	B-Location
city	NN	pobj	I-Location

how	WRB	advmod	O
far	RB	advmod	O
is	VBZ	ROOT	O
js	IN	nsubj	B-Restaurant_Name
restaurant	NN	nsubj	I-Restaurant_Name

can	MD	aux	O
you	PRP	nsubj	O
get	VB	ROOT	O
me	PRP	dative	O
the	DT	det	O
number	NN	dobj	O
to	TO	aux	O
bertucci	VB	advcl	B-Restaurant_Name

what	WP	attr	O
are	VBP	ROOT	O
some	DT	det	O
nearby	JJ	amod	B-Location
indian	JJ	amod	B-Cuisine
restaurants	NNS	nsubj	O
that	WDT	nsubj	O
have	VBP	relcl	O
a	DT	det	O
lot	NN	dobj	O
of	IN	prep	O
vegan	NN	pobj	B-Dish
and	CC	cc	O
vegetarian	VB	conj	B-Dish
dishes	NNS	dobj	O

does	VBZ	aux	O
sals	NNS	compound	B-Restaurant_Name
restaurant	NN	nsubj	I-Restaurant_Name
have	VBP	ROOT	O
a	DT	det	O
smoking	NN	compound	B-Amenity
section	NN	dobj	I-Amenity

where	WRB	advmod	O
can	MD	aux	O
i	PRP	nsubj	O
find	VB	ROOT	O
a	DT	det	O
family	NN	nsubj	B-Amenity
owned	VBN	amod	I-Amenity
authentic	JJ	amod	B-Cuisine
mongolian	JJ	amod	I-Cuisine
restaurant	NN	dobj	O

have	VBP	ROOT	O
any	DT	det	O
reviewers	NNS	nsubj	B-Rating
mention	VB	ccomp	O
a	DT	det	O
place	NN	dobj	O
that	WDT	nsubj	O
smells	VBZ	relcl	O
enticing	VBG	xcomp	O
as	RB	advmod	O
well	RB	advmod	O
as	IN	cc	O
good	JJ	amod	B-Rating
tasting	VBG	amod	O
food	NN	ROOT	O

what	WDT	det	O
restaurant	NN	nsubj	O
serves	VBZ	ROOT	O
the	DT	det	O
best	JJS	amod	B-Rating
hamburger	NN	dobj	B-Dish
in	IN	prep	B-Location
town	NN	pobj	I-Location

chinese	JJ	amod	B-Cuisine
buffet	NN	compound	B-Amenity
style	NN	ROOT	O

where	WRB	advmod	O
can	MD	aux	O
i	PRP	nsubj	O
find	VB	ROOT	O
a	DT	det	O
bar	NN	dobj	B-Cuisine
and	CC	cc	I-Cuisine
grill	NN	conj	I-Cuisine

i	PRP	nsubj	O
am	VBP	aux	O
looking	VBG	ROOT	O
for	IN	prep	O
a	DT	det	O
fast	JJ	amod	B-Cuisine
food	NN	compound	I-Cuisine
restaurant	NN	pobj	O

how	WRB	advmod	O
many	JJ	amod	O
miles	NNS	ROOT	O
until	IN	prep	O
chinese	JJ	amod	B-Cuisine
restaurant	NN	pobj	O

where	WRB	advmod	O
is	VBZ	ROOT	O
there	EX	expl	O
a	DT	det	O
fancy	JJ	amod	B-Amenity
place	NN	attr	O
for	IN	prep	O
dinner	NN	pobj	B-Hours

where	WRB	advmod	O
can	MD	aux	O
i	PRP	nsubj	O
find	VB	ROOT	O
a	DT	det	O
mcdonalds	NNS	dobj	B-Restaurant_Name
close	JJ	amod	B-Location
to	IN	prep	I-Location
my	PRP$	poss	I-Location
