what	WP	det	O
ground	NN	compound	O
transportation	NN	nsubj	O
is	VBZ	ROOT	O
available	JJ	acomp	O
in	IN	prep	O
denver	NN	pobj	B-city_name

show	VBP	ROOT	O
me	PRP	dative	O
fares	NNS	dobj	O
from	IN	prep	O
dallas	NNS	pobj	B-fromloc.city_name
to	TO	aux	O
baltimore	VB	xcomp	B-toloc.city_name
that	DT	nsubj	O
cost	VBP	ccomp	O
less	JJR	amod	B-cost_relative
than	IN	quantmod	O
300	CD	nummod	B-fare_amount
dollars	NNS	dobj	I-fare_amount

flights	NNS	ROOT	O
on	IN	prep	O
american	JJ	pobj	B-airline_name
from	IN	prep	O
phoenix	NNS	pobj	B-fromloc.city_name
to	TO	aux	O
chicago	VB	advcl	B-toloc.city_name
on	IN	prep	O
wednesday	NN	pobj	B-depart_date.day_name

i	PRP	nsubj	O
want	VBP	ROOT	O
to	TO	aux	O
arrive	VB	xcomp	O
in	IN	prep	O
detroit	NN	pobj	B-toloc.city_name
around	IN	quantmod	B-arrive_time.time_relative
6	CD	nummod	B-arrive_time.time
pm	NN	npadvmod	I-arrive_time.time
and	CC	cc	O
i'm	CC	punct	O
leaving	VBG	conj	O
from	IN	prep	O
chicago	NN	pobj	B-fromloc.city_name

please	UH	intj	O
list	VB	ROOT	O
the	DT	det	O
flights	NNS	dobj	O
from	IN	prep	O
charlotte	NN	pobj	B-fromloc.city_name
to	IN	prep	O
long	JJ	amod	B-toloc.city_name
beach	NN	pobj	I-toloc.city_name
arriving	VBG	acl	O
after	IN	prep	B-arrive_time.time_relative
lunch	NN	compound	B-arrive_time.period_of_day
time	NN	pobj	I-arrive_time.period_of_day

does	VBZ	aux	O
dl	VB	nsubj	B-airline_code
stand	VB	ROOT	O
for	IN	prep	O
delta	NN	pobj	B-airline_name

show	VB	ROOT	O
me	PRP	dative	O
the	DT	det	O
cheapest	JJS	amod	B-cost_relative
flights	NNS	dobj	O
from	IN	prep	O
san	NN	compound	B-fromloc.city_name
francisco	NN	pobj	I-fromloc.city_name
to	TO	aux	O
philadelphia	VB	xcomp	B-toloc.city_name

how	WRB	advmod	O
much	JJ	acomp	O
is	VBZ	ROOT	O
a	DT	det	O
first	JJ	amod	B-class_type
class	NN	compound	I-class_type
ticket	NN	nsubj	O
from	IN	prep	O
baltimore	NN	pobj	B-fromloc.city_name
to	IN	prep	O
san	NN	compound	B-toloc.city_name
francisco	NN	pobj	I-toloc.city_name

which	WDT	pobj	O
airlines	NNS	nsubj	O
fly	VBP	ROOT	O
between	IN	prep	O
baltimore	NN	pobj	B-fromloc.city_name
and	CC	cc	O
san	NN	compound	B-toloc.city_name
francisco	NN	conj	I-toloc.city_name

please	UH	intj	O
list	VB	ROOT	O
the	DT	det	O
sunday	NN	compound	B-depart_date.day_name
flights	NNS	dobj	O
from	IN	prep	O
dallas	NNS	pobj	B-fromloc.city_name
to	TO	aux	O
houston	NN	advcl	B-toloc.city_name
on	IN	prep	O
american	JJ	amod	B-airline_name
airlines	NNS	pobj	I-airline_name

show	VB	ROOT	O
me	PRP	dative	O
the	DT	det	O
flight	NN	dobj	O
that	WDT	nsubj	O
leaves	VBZ	relcl	O
philadelphia	NN	dobj	B-fromloc.city_name
in	IN	prep	O
the	DT	det	O
afternoon	NN	pobj	B-depart_time.period_of_day
and	CC	cc	O
arrives	VBZ	conj	O
in	IN	prep	O
the	DT	det	O
evening	NN	pobj	B-arrive_time.period_of_day
in	IN	prep	O
denver	NN	pobj	B-toloc.city_name

what	WP	attr	O
are	VBP	ROOT	O
the	DT	det	O
flights	NNS	nsubj	O
available	JJ	amod	O
in	IN	prep	O
the	DT	det	O
morning	NN	pobj	B-depart_time.period_of_day
between	IN	prep	O
boston	NN	pobj	B-fromloc.city_name
and	CC	cc	O
denver	NN	conj	B-toloc.city_name

what	WDT	pobj	O
flights	NNS	nsubj	O
are	VBP	ROOT	O
available	JJ	acomp	O
from	IN	prep	O
san	JJ	amod	B-fromloc.city_name
francisco	NN	pobj	I-fromloc.city_name
to	IN	prep	O
pittsburgh	VB	pobj	B-toloc.city_name
on	IN	prep	O
monday	JJ	amod	B-depart_date.day_name
morning	NN	pobj	B-depart_time.period_of_day

explain	VB	ROOT	O
fare	NN	compound	O
code	NN	dobj	O
qx	UH	punct	B-fare_basis_code

flights	NNS	ROOT	O
between	IN	prep	O
new	JJ	amod	B-fromloc.city_name
york	NN	pobj	I-fromloc.city_name
and	CC	cc	O
san	NN	conj	B-toloc.city_name
jose	NN	appos	I-toloc.city_name

list	VB	ROOT	O
all	DT	det	O
daily	JJ	amod	B-flight_days
flights	NNS	dobj	O
between	IN	prep	O
boston	NN	pobj	B-fromloc.city_name
and	CC	cc	O
oakland	NN	conj	B-toloc.city_name
using	VBG	advcl	O
american	JJ	amod	B-airline_name
airlines	NNS	dobj	I-airline_name

all	DT	det	O
flights	NNS	ROOT	O
from	IN	prep	O
boston	NN	pobj	B-fromloc.city_name
to	TO	aux	O
washington	VB	advcl	B-toloc.city_name
dc	NNP	dobj	B-toloc.state_code
on	IN	prep	O
november	NN	compound	B-depart_date.month_name
eleventh	NN	pobj	B-depart_date.day_number

fares	NNS	ROOT	O
from	IN	prep	O
dallas	NNS	pobj	B-fromloc.city_name
to	TO	aux	O
baltimore	VB	ROOT	B-toloc.city_name

flights	NNS	ROOT	O
from	IN	prep	O
cincinnati	NN	pobj	B-fromloc.city_name
to	IN	prep	O
los	NN	compound	B-toloc.city_name
angeles	NNS	pobj	I-toloc.city_name
departing	VBG	acl	O
after	IN	prep	B-depart_time.time_relative
718	CD	pobj	B-depart_time.time
am	NN	ROOT	I-depart_time.time

atlanta	JJ	ROOT	B-fromloc.city_name
to	IN	prep	O
pittsburgh	NN	pobj	B-toloc.city_name

all	DT	det	O
flights	NNS	ROOT	O
from	IN	prep	O
montreal	NN	pcomp	B-fromloc.city_name
less	JJR	amod	B-cost_relative
than	IN	quantmod	O
150	CD	nummod	B-fare_amount
dollars	NNS	appos	I-fare_amount

list	VB	ROOT	O
all	DT	det	O
takeoffs	NNS	dobj	O
and	CC	cc	O
landings	NNS	conj	O
at	IN	prep	O
general	JJ	amod	B-airport_name
mitchell	NN	compound	I-airport_name
international	JJ	pobj	I-airport_name

show	VBP	ROOT	O
me	PRP	dative	O
ground	NN	xcomp	O
transportation	NN	compound	O
information	NN	dobj	O
for	IN	prep	O
pittsburgh	NN	pobj	B-city_name

i	PRP	nsubj	O
want	VBP	ROOT	O
to	TO	aux	O
fly	VB	xcomp	O
united	JJ	amod	B-airline_name
airlines	NNS	dobj	I-airline_name
from	IN	prep	O
boston	NN	pobj	B-fromloc.city_name
to	IN	prep	O
denver	NN	pobj	B-toloc.city_name

which	WDT	pobj	O
flights	NNS	nsubj	O
go	VBP	ROOT	O
from	IN	prep	O
philadelphia	NN	pobj	B-fromloc.city_name
to	IN	prep	O
san	NN	amod	B-toloc.city_name
francisco	NN	pobj	I-toloc.city_name

list	VB	ROOT	O
daily	JJ	amod	B-flight_days
flights	NNS	dobj	O
from	IN	prep	O
boston	NN	pobj	B-fromloc.city_name
to	TO	aux	O
atlanta	VB	advcl	B-toloc.city_name

pittsburgh	NN	ROOT	B-fromloc.city_name
to	TO	aux	O
boston	VB	xcomp	B-toloc.city_name
saturday	NN	npadvmod	B-depart_date.day_name

which	WDT	dobj	O
airlines	NNS	nsubj	O
fly	VBP	ROOT	O
from	IN	prep	O
boston	NN	pobj	B-fromloc.city_name
to	TO	aux	O
washington	VB	advcl	B-toloc.city_name
dc	NNS	dobj	B-toloc.state_code
via	IN	prep	O
other	JJ	amod	O
cities	NNS	pobj	O

on	IN	prep	O
september	NN	pobj	B-depart_date.month_name
fourth	NN	amod	B-depart_date.day_number
i'll	NN	nsubj	O
be	VB	aux	O
traveling	VBG	ccomp	O
from	IN	prep	O
pittsburgh	NN	pobj	B-fromloc.city_name
to	TO	aux	O
atlanta	VB	advcl	B-toloc.city_name
can	MD	aux	O
you	PRP	nsubj	O
tell	VB	ROOT	O
me	PRP	dobj	O
what	WDT	det	O
flight	NN	nsubj	O
would	MD	aux	O
be	VB	ccomp	O
the	DT	det	O
cheapest	JJS	attr	B-cost_relative

what	WDT	attr	O
flights	NNS	nsubj	O
are	VBP	ROOT	O
there	RB	advmod	O
from	IN	prep	O
baltimore	NN	pobj	B-fromloc.city_name
to	IN	prep	O
san	NN	compound	B-toloc.city_name
francisco	NN	pobj	I-toloc.city_name

do	VBP	aux	O
you	PRP	nsubj	O
have	VB	ROOT	O
a	DT	det	O
delta	NN	compound	B-airline_name
flight	NN	dobj	O
to	IN	prep	O
san	NN	amod	B-toloc.city_name
francisco	NN	pobj	I-toloc.city_name
from	IN	prep	O
denver	NN	pobj	B-fromloc.city_name
on	IN	prep	O
august	JJ	amod	B-depart_date.month_name
thirtieth	JJ	pobj	B-depart_date.day_number
in	IN	prep	O
the	DT	det	O
early	JJ	amod	B-depart_time.period_of_day
morning	NN	pobj	B-depart_time.period_of_day

please	UH	intj	O
list	VB	ROOT	O
flights	NNS	dobj	O
between	IN	prep	O
denver	NN	pobj	B-fromloc.city_name
and	CC	cc	O
boston	NN	conj	B-toloc.city_name

show	VBP	ROOT	O
me	PRP	nsubj	O
oakland	NN	ccomp	B-fromloc.city_name
to	IN	prep	O
dallas	NNS	xcomp	B-toloc.city_name
flights	NNS	dobj	O

on	IN	prep	O
august	JJ	amod	B-depart_date.month_name
thirtieth	JJ	pobj	B-depart_date.day_number
please	UH	intj	O
schedule	VB	ROOT	O
me	PRP	dobj	O
on	IN	prep	O
a	DT	det	O
flight	NN	pobj	O
from	IN	prep	O
denver	NN	pobj	B-fromloc.city_name
to	TO	aux	O
san	VB	advcl	B-toloc.city_name
francisco	NN	dobj	I-toloc.city_name
early	RB	advmod	B-depart_time.period_mod
in	IN	prep	O
the	DT	det	O
morning	NN	pobj	B-depart_time.period_of_day

i	PRP	nsubj	O
need	VBP	ROOT	O
information	NN	dobj	O
on	IN	prep	O
flights	NNS	pobj	O
leaving	VBG	acl	O
philadelphia	NN	dobj	B-fromloc.city_name
on	IN	prep	O
friday	NN	npadvmod	B-depart_date.day_name
arriving	VBG	acl	O
in	IN	prep	O
oakland	NN	amod	B-toloc.city_name
california	NN	pobj	B-toloc.state_name

give	VB	ROOT	O
me	PRP	dative	O
flights	NNS	dobj	O
from	IN	prep	O
pittsburgh	NN	pobj	B-fromloc.city_name
to	TO	aux	O
baltimore	VB	advcl	B-toloc.city_name

do	VBP	aux	O
you	PRP	nsubj	O
have	VB	ROOT	O
an	DT	det	O
819	CD	nummod	B-depart_time.time
flight	NN	dobj	O
from	IN	prep	O
denver	NN	pobj	B-fromloc.city_name
to	TO	aux	O
san	VB	relcl	B-toloc.city_name
francisco	NN	dobj	I-toloc.city_name

fine	RB	advmod	O
can	MD	aux	O
you	PRP	nsubj	O
give	VB	ROOT	O
me	PRP	dative	O
information	NN	dobj	O
on	IN	prep	O
ground	NN	compound	O
transportation	NN	pobj	O
in	IN	prep	O
washington	NN	pobj	B-city_name
dc	NNS	npadvmod	B-state_code
to	IN	prep	O
downtown	NN	pobj	O

is	VBZ	ROOT	O
there	EX	expl	O
a	DT	det	O
flight	NN	attr	O
from	IN	prep	O
philadelphia	NN	pobj	B-fromloc.city_name
to	TO	aux	O
oakland	VB	relcl	B-toloc.city_name
with	IN	prep	O
a	DT	det	O
stop	NN	pobj	O
in	IN	prep	O
dallas	NNS	pobj	B-stoploc.city_name

i	PRP	nsubj	O
would	MD	aux	O
like	VB	ROOT	O
information	NN	dobj	O
on	IN	prep	O
any	DT	det	O
flights	NNS	pobj	O
from	IN	prep	O
san	JJ	amod	B-fromloc.city_name
francisco	NN	pobj	I-fromloc.city_name
to	IN	prep	O
pittsburgh	NN	pobj	B-toloc.city_name
arriving	VBG	acl	O
in	IN	prep	O
pittsburgh	NN	pobj	B-toloc.city_name
before	IN	prep	B-arrive_time.time_relative
8	CD	nummod	B-arrive_time.time
am	NN	pobj	I-arrive_time.time
tuesday	NN	compound	B-arrive_date.day_name
morning	NN	npadvmod	B-arrive_time.period_of_day

flights	NNS	ROOT	O
from	IN	prep	O
jfk	JJ	pobj	B-fromloc.airport_code
or	CC	cc	B-or
la	RB	conj	B-fromloc.airport_name
guardia	NNS	conj	I-fromloc.airport_name
to	TO	aux	O
cleveland	VB	relcl	B-toloc.city_name

are	VBP	ROOT	O
there	EX	expl	O
any	DT	det	O
limousines	NNS	attr	B-transport_type
or	CC	cc	B-or
taxi	NN	compound	B-transport_type
services	NNS	conj	O
available	JJ	amod	O
at	IN	prep	O
the	DT	det	O
boston	NN	compound	B-airport_name
airport	NN	pobj	I-airport_name

i'd	RB	ROOT	O
like	IN	prep	O
the	DT	det	O
earliest	JJS	amod	B-flight_mod
flight	NN	compound	O
information	NN	pobj	O
from	IN	prep	O
boston	NN	pobj	B-fromloc.city_name
to	IN	prep	O
san	NN	pobj	B-toloc.city_name
francisco	NN	appos	I-toloc.city_name
with	IN	prep	O
a	DT	det	O
meal	NN	pobj	B-meal

i	PRP	nsubj	O
would	MD	aux	O
like	VB	ROOT	O
to	TO	aux	O
see	VB	xcomp	O
all	DT	det	O
flights	NNS	dobj	O
from	IN	prep	O
denver	NN	pobj	B-fromloc.city_name
to	TO	aux	O
philadelphia	VB	advcl	B-toloc.city_name

phoenix	NN	ROOT	B-fromloc.city_name
to	IN	prep	O
denver	NN	pobj	B-toloc.city_name

what	WP	attr	O
is	VBZ	ROOT	O
the	DT	det	O
cheapest	JJS	amod	B-cost_relative
one	CD	nummod	B-round_trip
way	NN	nsubj	I-round_trip
fare	VBP	acomp	O
from	IN	prep	O
san	JJ	amod	B-fromloc.city_name
francisco	NN	pobj	I-fromloc.city_name
to	TO	aux	O
boston	VB	xcomp	B-toloc.city_name
on	IN	prep	O
wednesday	NNP	pobj	B-depart_date.day_name
august	NN	npadvmod	B-depart_date.month_name
twenty	CD	nummod	B-depart_date.day_number
first	JJ	advmod	I-depart_date.day_number

what	WDT	det	O
flights	NNS	attr	O
are	VBP	ROOT	O
there	RB	advmod	O
on	IN	prep	O
saturdays	NNS	pobj	B-depart_date.day_name
from	IN	prep	O
philadelphia	NN	pobj	B-fromloc.city_name
to	IN	prep	O
denver	NN	pobj	B-toloc.city_name

flights	NNS	ROOT	O
from	IN	prep	O
denver	NN	pobj	B-fromloc.city_name
to	TO	aux	O
chicago	VB	advcl	B-toloc.city_name
on	IN	prep	O
sunday	NN	pobj	B-depart_date.day_name
on	IN	prep	O
continental	JJ	amod	B-airline_name

what	WDT	pobj	O
flights	NNS	nsubj	O
go	VBP	ROOT	O
from	IN	prep	O
boston	NN	pobj	B-fromloc.city_name
to	TO	aux	O
