romeo	NNS	nsubj	B-Relationship
and	CC	cc	I-Relationship
juliet	NN	conj	I-Relationship
played	VBD	ROOT	B-Plot
out	RP	prt	I-Plot
on	IN	prep	I-Plot
the	DT	det	I-Plot
streets	NNS	pobj	I-Plot
of	IN	prep	I-Plot
manhattan	NN	pobj	I-Plot
with	IN	prep	O
music	NN	pobj	O
by	IN	prep	O
leonard	NN	pobj	B-Soundtrack
bernstein	RB	advmod	I-Soundtrack

paul	NN	compound	B-Actor
newman	NN	nsubj	I-Actor
and	CC	cc	O
robert	JJ	amod	B-Actor
redford	NN	conj	I-Actor
played	VBD	ROOT	O
two	CD	nummod	O
famous	JJ	amod	B-Plot
outlaws	NNS	dobj	I-Plot
in	IN	prep	O
this	DT	det	O
film	NN	pobj	O
featuring	VBG	acl	O
the	DT	det	O
oscar	NN	dobj	B-Award
winning	VBG	acl	O
best	JJS	amod	O
song	NN	compound	O
raindrops	NNS	dobj	B-Soundtrack
keep	VBP	punct	I-Soundtrack
falling	VBG	xcomp	I-Soundtrack
on	IN	prep	I-Soundtrack
my	PRP$	poss	I-Soundtrack
head	NN	pobj	I-Soundtrack

the	DT	det	O
14	CD	nummod	O
year	NN	npadvmod	O
old	JJ	amod	O
son	NN	nsubj	O
of	IN	prep	O
robert	JJ	compound	O
altman	NN	compound	O
mike	NN	compound	B-Director
altman	NN	pobj	I-Director
wrote	VBD	ROOT	O
the	DT	det	O
lyrics	NNS	dobj	O
to	IN	prep	O
the	DT	det	O
theme	NN	compound	O
song	NN	compound	B-Soundtrack
suicide	NN	pobj	I-Soundtrack
is	VBZ	advcl	I-Soundtrack
painless	JJ	acomp	I-Soundtrack
of	IN	prep	O
this	DT	det	O
1970	CD	nummod	B-Year
movie	NN	pobj	O
that	WDT	nsubj	O
later	RB	advmod	O
became	VBD	relcl	O
a	DT	det	O
hit	JJ	amod	O
television	NN	compound	O
show	NN	attr	O

what	WDT	det	O
film	NN	nsubj	O
based	VBN	acl	O
on	IN	prep	O
a	DT	det	O
stage	NN	pobj	B-Origin
musical	JJ	amod	I-Origin
features	VBZ	ROOT	O
two	CD	nummod	O
gangs	NNS	dobj	O
the	DT	det	O
sharks	NNS	appos	O
and	CC	cc	O
jets	NNS	conj	O
and	CC	cc	O
the	DT	det	O
song	NN	conj	O
i	PRP	nsubj	B-Soundtrack
feel	VBP	relcl	I-Soundtrack
pretty	RB	advmod	I-Soundtrack

a	DT	det	O
lesser	RBR	advmod	B-Opinion
known	VBN	amod	I-Opinion
fab	NN	nmod	O
4	CD	nummod	O
film	NN	nsubj	O
this	DT	det	O
movie	NN	nsubj	O
has	VBZ	ROOT	O
a	DT	det	O
musical	JJ	amod	O
segment	NN	dobj	O
of	IN	prep	O
i	PRP	pobj	B-Soundtrack
am	VBP	conj	I-Soundtrack
the	DT	det	I-Soundtrack
walrus	NN	attr	I-Soundtrack
with	IN	prep	O
the	DT	det	O
boys	NNS	pobj	B-Plot
all	DT	appos	I-Plot
wearing	VBG	acl	I-Plot
masks	NNS	dobj	I-Plot
and	CC	cc	I-Plot
fur	NN	compound	I-Plot
suits	NNS	conj	I-Plot

what	WP	dobj	O
war	NN	compound	B-Genre
movie	NN	nsubj	O
features	VBZ	csubj	O
memorable	JJ	amod	B-Opinion
quotes	NNS	dobj	O
such	JJ	amod	O
as	IN	prep	O
five	CD	nummod	B-Quote
foot	NN	compound	I-Quote
nine	CD	pobj	I-Quote
i	PRP	nsubj	I-Quote
did	VBD	relcl	I-Quote
n	RB	cc	I-Quote
t	XX	nsubj	I-Quote
know	VB	ROOT	I-Quote
they	PRP	nsubj	I-Quote
stacked	VBD	ccomp	I-Quote
shit	NN	dobj	I-Quote
that	RB	advmod	I-Quote
high	JJ	ccomp	I-Quote
and	CC	cc	O
were	VBD	auxpass	B-Quote
you	PRP	nsubj	I-Quote
born	VBN	conj	I-Quote
a	DT	det	I-Quote
fat	JJ	amod	I-Quote
slimy	JJ	amod	I-Quote
scumbag	NN	compound	I-Quote
puke	NN	compound	I-Quote
piece	NN	nsubj	I-Quote
o	NN	punct	I-Quote
shit	VB	ccomp	I-Quote
private	JJ	amod	I-Quote
pyle	NN	dobj	I-Quote
or	CC	cc	I-Quote
did	VBD	aux	I-Quote
you	PRP	nsubj	I-Quote
have	VB	conj	I-Quote
to	TO	aux	I-Quote
work	VB	xcomp	I-Quote
on	IN	prep	I-Quote
it	PRP	pobj	I-Quote

a	DT	det	B-Plot
strange	JJ	amod	I-Plot
visitor	NN	nsubj	I-Plot
from	IN	prep	I-Plot
space	NN	pobj	I-Plot
arrives	VBZ	ROOT	I-Plot
with	IN	prep	I-Plot
his	PRP$	poss	I-Plot
giant	JJ	amod	I-Plot
robot	NN	compound	I-Plot
companion	NN	pobj	I-Plot
to	TO	aux	I-Plot
give	VB	advcl	I-Plot
humanity	NN	dative	I-Plot
an	DT	det	I-Plot
urgent	JJ	amod	I-Plot
message	NN	dobj	I-Plot
features	VBZ	conj	O
the	DT	det	O
famous	JJ	amod	O
quote	UH	dobj	O
klaatu	JJ	amod	B-Quote
barada	NN	compound	I-Quote
nikto	NNS	ROOT	I-Quote

what	WP	attr	O
is	VBZ	aux	O
the	DT	det	O
famous	JJ	amod	B-Opinion
humphrey	NN	compound	B-Actor
bogart	NN	compound	I-Actor
movie	NN	nsubj	O
with	IN	prep	O
the	DT	det	O
popular	JJ	amod	O
quote	NN	pobj	O
here	RB	advmod	B-Quote
s	VBZ	aux	I-Quote
looking	VBG	ROOT	I-Quote
at	IN	prep	I-Quote
you	PRP	pobj	I-Quote
kid	VBP	npadvmod	I-Quote

the	DT	det	B-Quote
corn	NN	nsubj	I-Quote
is	VBZ	ROOT	I-Quote
as	RB	advmod	I-Quote
high	JJ	acomp	I-Quote
as	IN	prep	I-Quote
a	DT	det	I-Quote
elephant	NN	poss	I-Quote
