show	VB	ROOT	O
me	PRP	dative	O
all	DT	det	O
flights	NNS	dobj	O
from	IN	prep	O
san	NN	amod	B-fromloc.city_name
francisco	NN	pobj	I-fromloc.city_name
to	IN	prep	O
pittsburgh	NN	pobj	B-toloc.city_name
which	WDT	nsubj	O
arrive	VBP	relcl	O
in	IN	prep	O
pittsburgh	NN	pobj	B-toloc.city_name
before	IN	prep	B-arrive_time.time_relative
9	CD	nummod	B-arrive_time.time
o'clock	NN	pobj	I-arrive_time.time
am	VBP	ccomp	I-arrive_time.time
tomorrow	NN	npadvmod	B-arrive_date.today_relative

and	CC	cc	O
i'll	NN	nsubj	O
need	VBP	ROOT	O
ground	NN	compound	O
transportation	NN	dobj	O
for	IN	prep	O
tuesday	NNP	compound	B-day_name
july	NN	compound	B-month_name
sixth	JJ	pobj	B-day_number
to	IN	prep	O
wednesday	NNP	pobj	B-day_name
july	NNP	pobj	B-month_name
seventh	JJ	advcl	B-day_number
in	IN	prep	O
san	NN	amod	B-city_name
diego	NN	pobj	I-city_name

show	VB	ROOT	O
me	PRP	dative	O
all	DT	det	O
flights	NNS	dobj	O
from	IN	prep	O
new	JJ	amod	B-fromloc.city_name
york	NN	pobj	I-fromloc.city_name
to	IN	prep	O
miami	VB	pobj	B-toloc.city_name
leaving	VBG	acl	O
on	IN	prep	O
a	DT	det	O
tuesday	NN	pobj	B-depart_date.day_name
and	CC	cc	O
returning	VBG	conj	O
on	IN	prep	O
sunday	NN	pobj	B-return_date.day_name

what	WDT	det	O
flights	NNS	dobj	O
from	IN	prep	O
kansas	NNS	amod	B-fromloc.city_name
city	NN	pobj	I-fromloc.city_name
to	TO	aux	O
chicago	VB	compound	B-toloc.city_name
leave	NN	ROOT	O
next	JJ	amod	B-depart_date.date_relative
wednesday	NN	npadvmod	B-depart_date.day_name
returning	VBG	advcl	O
the	DT	det	B-return_date.today_relative
following	JJ	amod	I-return_date.today_relative
day	NN	npadvmod	I-return_date.today_relative

what	WP	attr	O
is	VBZ	ROOT	O
the	DT	det	O
ground	NN	compound	O
transportation	NN	nsubj	O
available	JJ	amod	O
in	IN	prep	O
fort	NN	pobj	B-city_name
worth	JJ	acomp	I-city_name
texas	NN	npadvmod	B-state_name

locate	JJ	amod	O
flights	NNS	nsubj	O
from	IN	prep	O
philadelphia	NN	pobj	B-fromloc.city_name
to	IN	prep	O
dallas	NNS	pobj	B-toloc.city_name
stopping	VBG	ROOT	O
in	IN	prep	O
hartfield	NN	pobj	B-stoploc.airport_name

i	PRP	nsubj	O
would	MD	aux	O
like	VB	ROOT	O
information	NN	dobj	O
on	IN	prep	O
ground	NN	compound	O
transportation	NN	pobj	O
in	IN	prep	O
atlanta	NN	pobj	B-city_name
from	IN	prep	O
the	DT	det	O
airport	NN	pobj	O
to	IN	prep	O
the	DT	det	O
city	NN	pobj	O
in	IN	prep	O
the	DT	det	O
morning	NN	pobj	B-period_of_day
around	RB	advmod	B-time_relative
9	CD	npadvmod	B-time
am	NN	dobj	I-time

show	VB	ROOT	O
me	PRP	dative	O
the	DT	det	O
ground	NN	compound	O
transportation	NN	compound	O
schedule	NN	dobj	O
in	IN	prep	O
san	NN	compound	B-city_name
francisco	NN	pobj	I-city_name
on	IN	prep	O
thursday	NN	pobj	B-day_name
evening	NN	npadvmod	B-period_of_day

what	WP	attr	O
is	VBZ	ROOT	O
sa	PRP	punct	B-days_code

what	WP	attr	O
is	VBZ	ROOT	O
sa	PRP	punct	B-days_code

