find	VB	ROOT	O
a	DT	det	O
preview	NN	dobj	B-TRAILER
for	IN	prep	O
the	DT	det	O
movie	NN	pobj	O
the	DT	det	B-TITLE
guns	NNS	dobj	I-TITLE
of	IN	prep	I-TITLE
navarone	NN	pobj	I-TITLE

where	WRB	advmod	O
can	MD	aux	O
i	PRP	nsubj	O
watch	VB	ROOT	O
the	DT	det	O
trailer	NN	dobj	B-TRAILER
of	IN	prep	O
a	DT	det	B-TITLE
hard	JJ	amod	I-TITLE
day	NN	poss	I-TITLE
s	POS	case	I-TITLE
night	NN	pobj	I-TITLE

find	VB	ROOT	O
a	DT	det	O
trailer	NN	dobj	B-TRAILER
for	IN	prep	O
the	DT	det	B-TITLE
perfect	JJ	amod	I-TITLE
storm	NN	pobj	I-TITLE

show	VB	ROOT	O
me	PRP	dative	O
a	DT	det	O
trailer	NN	dobj	B-TRAILER
for	IN	prep	O
an	DT	det	O
peter	NN	compound	B-ACTOR
ustinov	NN	compound	I-ACTOR
flick	NN	pobj	O

play	VB	ROOT	O
a	DT	det	O
trailer	NN	dobj	B-TRAILER
for	IN	prep	O
war	NN	compound	B-TITLE
horse	NN	pobj	I-TITLE

looking	VBG	ROOT	O
for	IN	prep	O
the	DT	det	O
classic	JJ	amod	B-REVIEW
christmas	NN	compound	B-GENRE
movie	NN	pobj	O
with	IN	prep	O
barbara	NN	compound	B-ACTOR
stanwyck	NN	pobj	I-ACTOR
and	CC	cc	O
fred	VBD	conj	B-ACTOR
mcmurray	NN	dobj	I-ACTOR

what	WP	det	O
epic	JJ	amod	B-REVIEW
feature	NN	nsubj	O
portrayed	VBD	ROOT	O
the	DT	det	B-PLOT
life	NN	dobj	I-PLOT
of	IN	prep	I-PLOT
a	DT	det	I-PLOT
most	RBS	advmod	I-PLOT
important	JJ	amod	I-PLOT
figure	NN	pobj	I-PLOT
in	IN	prep	I-PLOT
the	DT	det	I-PLOT
history	NN	pobj	I-PLOT
of	IN	prep	I-PLOT
india	NN	pobj	I-PLOT

show	VBP	ROOT	O
good	JJ	amod	B-REVIEW
horror	NN	compound	B-GENRE
films	NNS	dobj	O
from	IN	prep	O
2012	CD	pobj	B-YEAR

what	WDT	det	O
romance	NN	compound	B-GENRE
movies	NNS	nsubj	I-GENRE
were	VBD	ROOT	O
popular	JJ	acomp	B-REVIEW
in	IN	prep	O
2002	CD	pobj	B-YEAR

list	NN	compound	O
pirate	NN	compound	B-PLOT
movies	NNS	nsubj	O
directed	VBN	acl	O
by	IN	agent	O
gore	NN	compound	B-DIRECTOR
verbinski	NN	pobj	I-DIRECTOR
rated	VBN	acl	O
must	MD	aux	B-REVIEW
see	VB	ROOT	I-REVIEW

do	VBP	aux	O
you	PRP	nsubj	O
know	VB	ROOT	O
any	DT	det	O
movies	NNS	dobj	O
that	WDT	nsubj	O
have	VBP	relcl	O
the	DT	det	O
song	NN	dobj	O
come	VB	ccomp	B-SONG
what	WP	nsubj	I-SONG
may	MD	aux	I-SONG
in	IN	ROOT	O
its	PRP$	poss	O
soundtrack	NN	pobj	O

did	VBD	aux	O
danny	NN	compound	B-SONG
elfman	NN	nsubj	I-SONG
ever	RB	advmod	O
score	VBP	ROOT	O
any	DT	det	O
movies	NNS	dobj	O
and	CC	cc	O
if	IN	mark	O
so	RB	conj	O
which	WDT	det	O
ones	NNS	advcl	O

show	VB	ROOT	O
me	PRP	dative	O
a	DT	det	O
movie	NN	dobj	O
with	IN	prep	O
the	DT	det	O
song	NN	compound	O
youre	NN	pobj	B-SONG
the	DT	det	I-SONG
one	NN	appos	I-SONG
that	WDT	relcl	I-SONG
i	PRP	nsubj	I-SONG
want	VBP	ROOT	I-SONG

what	WP	attr	O
was	VBD	ROOT	O
the	DT	det	O
theme	NN	compound	B-SONG
song	NN	nsubj	I-SONG
from	IN	prep	O
brians	NNS	pobj	B-TITLE
song	NN	ROOT	I-TITLE

which	WDT	det	O
film	NN	nsubj	O
has	VBZ	ROOT	O
the	DT	det	O
song	NN	dobj	O
i	PRP	nsubj	B-SONG
believe	VBP	relcl	I-SONG
i	PRP	nsubj	I-SONG
can	MD	aux	I-SONG
fly	VB	ROOT	I-SONG

how	WRB	advmod	O
many	JJ	amod	O
james	NNS	compound	B-CHARACTER
bond	NN	compound	I-CHARACTER
movies	NNS	nsubj	O
are	VBP	ROOT	O
there	RB	advmod	O

which	WDT	det	O
movies	NNS	nsubj	O
have	VBP	ROOT	O
a	DT	det	O
character	NN	dobj	O
named	VBN	acl	O
ted	VBN	acl	B-CHARACTER

who	WP	nsubj	O
played	VBD	ROOT	O
the	DT	det	B-CHARACTER
hulk	NN	dobj	I-CHARACTER
in	IN	prep	O
the	DT	det	B-TITLE
hulk	NN	pobj	I-TITLE

on	IN	ROOT	O
what	WP	det	O
film	NN	nsubj	O
did	VBD	aux	O
halle	JJ	pcomp	B-ACTOR
berry	NN	compound	I-ACTOR
stars	NNS	dobj	O
as	IN	prep	O
storm	NN	pobj	B-CHARACTER

what	WP	det	O
animated	JJ	amod	B-CHARACTER
fish	NN	nsubj	I-CHARACTER
says	VBZ	ROOT	O
keep	VB	ccomp	O
swimming	VBG	xcomp	O
all	PDT	predet	O
the	DT	det	O
time	NN	npadvmod	O

list	NN	compound	O
movies	NNS	ROOT	O
directed	VBN	acl	O
by	IN	agent	O
scott	JJ	compound	B-DIRECTOR
marshall	NN	pobj	I-DIRECTOR
with	IN	prep	O
garry	JJ	amod	B-ACTOR
marshall	NN	pobj	I-ACTOR

did	VBD	ROOT	O
frank	JJ	amod	B-DIRECTOR
capra	JJ	amod	I-DIRECTOR
direct	JJ	amod	O
wall	NN	dobj	B-TITLE
e	NN	punct	I-TITLE

is	VBZ	ROOT	O
there	EX	expl	O
an	DT	det	O
r	NN	npadvmod	B-RATING
rated	VBN	amod	O
marc	NNP	compound	B-DIRECTOR
rocco	NN	compound	I-DIRECTOR
movie	NN	attr	O
with	IN	prep	O
kids	NNS	pobj	B-GENRE
in	IN	prep	O
it	PRP	pobj	O

would	MD	aux	O
you	PRP	nsubj	O
be	VB	ROOT	O
able	JJ	acomp	O
to	TO	aux	O
show	VB	xcomp	O
me	PRP	dobj	O
where	WRB	advmod	O
i	PRP	nsubj	O
can	MD	aux	O
find	VB	ccomp	O
a	DT	det	O
pg	RB	npadvmod	B-RATING
rated	VBN	amod	O
crime	NN	compound	B-GENRE
move	NN	dobj	O
made	VBN	acl	O
in	IN	prep	O
the	DT	det	O
year	NN	pobj	O
2000	CD	nummod	B-YEAR
which	WDT	nsubjpass	O
was	VBD	auxpass	O
directed	VBN	relcl	O
by	IN	agent	O
cedric	JJ	amod	B-DIRECTOR
gibbons	NNS	pobj	I-DIRECTOR
that	WDT	nsubj	O
has	VBZ	relcl	O
a	DT	det	O
rating	NN	dobj	O
of	IN	prep	O
six	CD	pobj	B-RATINGS_AVERAGE

what	WP	attr	O
are	VBP	ROOT	O
some	DT	det	O
movies	NNS	nsubj	O
from	IN	prep	O
the	DT	det	O
last	JJ	amod	B-YEAR
six	CD	nummod	I-YEAR
decades	NNS	pobj	I-YEAR
that	WDT	nsubjpass	O
are	VBP	auxpass	O
well	RB	advmod	B-RATINGS_AVERAGE
rated	VBN	relcl	I-RATINGS_AVERAGE
with	IN	prep	O
andy	NN	compound	B-ACTOR
griffith	NN	pobj	I-ACTOR
and	CC	cc	O
a	DT	det	O
nc	JJ	amod	B-RATING
17	CD	nummod	I-RATING
rating	NN	attr	O

was	VBD	ROOT	O
there	EX	expl	O
a	DT	det	O
highly	RB	advmod	B-RATINGS_AVERAGE
rated	VBN	amod	I-RATINGS_AVERAGE
thriller	NN	attr	B-GENRE
with	IN	prep	O
friz	NN	compound	B-DIRECTOR
freleng	NN	pobj	I-DIRECTOR

is	VBZ	ROOT	O
there	EX	expl	O
an	DT	det	O
animation	NN	compound	B-GENRE
movie	NN	attr	O
with	IN	prep	O
an	DT	det	O
ok	JJ	amod	B-RATINGS_AVERAGE
rating	NN	pobj	O
within	IN	prep	O
the	DT	det	O
past	JJ	amod	B-YEAR
eight	CD	nummod	I-YEAR
years	NNS	pobj	I-YEAR
directed	VBN	acl	O
by	IN	agent	O
stephen	NN	compound	B-DIRECTOR
maddocks	NNS	pobj	I-DIRECTOR

is	VBZ	ROOT	O
there	EX	expl	O
any	DT	det	O
adventure	NN	compound	B-GENRE
movies	NNS	attr	O
rated	VBD	acl	O
r	IN	prep	B-RATING
starring	VBG	xcomp	O
mel	NN	compound	B-ACTOR
gibson	NN	dobj	I-ACTOR
that	WDT	nsubj	O
are	VBP	relcl	O
nine	CD	nummod	B-RATINGS_AVERAGE
stars	NNS	attr	I-RATINGS_AVERAGE
and	CC	cc	I-RATINGS_AVERAGE
above	IN	prep	I-RATINGS_AVERAGE

what	WP	attr	O
is	VBZ	ROOT	O
a	DT	det	O
decent	JJ	amod	B-RATINGS_AVERAGE
murder	NN	compound	B-PLOT
movie	NN	nsubj	O
in	IN	prep	O
the	DT	det	O
past	JJ	amod	B-YEAR
ten	CD	nummod	I-YEAR
years	NNS	pobj	I-YEAR

is	VBZ	ROOT	O
there	EX	expl	O
a	DT	det	O
deep	JJ	amod	B-PLOT
sea	NN	compound	I-PLOT
diver	NN	compound	I-PLOT
romance	NN	attr	B-GENRE

name	VB	ROOT	O
a	DT	det	O
pg	NN	nmod	B-RATING
13	CD	nummod	I-RATING
buddy	NN	amod	B-PLOT
cop	NN	compound	I-PLOT
film	NN	dobj	O

