which	WDT	nsubj	O
animated	JJ	amod	B-GENRE
film	NN	nsubj	I-GENRE
features	VBZ	ROOT	O
johnny	JJ	compound	B-ACTOR
depps	NN	compound	I-ACTOR
voice	NN	dobj	O
as	IN	prep	O
a	DT	det	O
talking	VBG	amod	B-PLOT
chameleon	NN	pobj	I-PLOT

the	DT	det	O
scariest	JJS	amod	B-REVIEW
movie	NN	ROOT	I-REVIEW
possible	JJ	amod	I-REVIEW

list	NN	compound	O
movies	NNS	ROOT	O
with	IN	prep	O
explosions	NNS	pobj	B-PLOT
and	CC	cc	O
robots	NNS	conj	B-PLOT
from	IN	prep	O
2011	CD	pobj	B-YEAR

where	WRB	advmod	O
can	MD	aux	O
i	PRP	nsubj	O
find	VB	ROOT	O
a	DT	det	O
list	NN	dobj	O
of	IN	prep	O
russell	JJ	compound	B-ACTOR
crowe	NNS	compound	I-ACTOR
movies	NNS	pobj	O

name	VB	ROOT	O
a	DT	det	O
romantic	JJ	amod	B-GENRE
comedy	NN	dobj	I-GENRE
with	IN	prep	O
josh	NN	compound	B-ACTOR
duhamel	NN	pobj	I-ACTOR
that	IN	nmod	O
fans	NNS	nsubj	O
loved	VBD	ROOT	B-REVIEW

what	WP	attr	O
was	VBD	ROOT	O
the	DT	det	O
name	NN	nsubj	O
of	IN	prep	O
the	DT	det	O
hitchcock	NN	compound	B-DIRECTOR
thriller	NN	pobj	B-GENRE
with	IN	prep	O
the	DT	det	O
infamous	JJ	amod	B-PLOT
shower	NN	compound	I-PLOT
scene	NN	pobj	I-PLOT

are	VBP	ROOT	O
there	EX	expl	O
any	DT	det	O
musical	JJ	amod	B-GENRE
films	NNS	attr	I-GENRE
with	IN	prep	O
patrick	JJ	amod	B-ACTOR
dempsey	NN	pobj	I-ACTOR

is	VBZ	ROOT	O
there	EX	expl	O
a	DT	det	O
teen	NN	compound	B-GENRE
movie	NN	attr	O
which	WDT	det	O
director	NN	nsubj	O
is	VBZ	relcl	O
clint	NN	compound	B-DIRECTOR
eastwood	NN	attr	I-DIRECTOR

what	WDT	det	O
suspense	NN	amod	B-GENRE
film	NN	nsubjpass	O
of	IN	prep	O
the	DT	det	O
past	JJ	amod	B-YEAR
six	CD	nummod	I-YEAR
years	NNS	pobj	I-YEAR
was	VBD	auxpass	O
directed	VBN	ROOT	O
by	IN	agent	O
jordan	NN	compound	B-DIRECTOR
galland	NN	pobj	I-DIRECTOR
and	CC	cc	O
was	VBD	conj	O
about	IN	prep	O
the	DT	det	O
living	VBG	pobj	B-PLOT
dead	JJ	advmod	I-PLOT

what	WDT	det	O
sport	NN	compound	B-GENRE
movie	NN	nsubjpass	O
that	WDT	nsubj	O
came	VBD	relcl	O
out	RP	prt	O
in	IN	prep	O
