@paulwalk	VB	ROOT	O
It	PRP	nsubj	O
's	VBZ	ROOT	O
the	DT	det	O
view	NN	attr	O
from	IN	prep	O
where	WRB	advmod	O
I	PRP	nsubj	O
'm	VBP	aux	O
living	VBG	pcomp	O
for	IN	prep	O
two	CD	nummod	O
weeks	NNS	pobj	O
.	.	punct	O
Empire	NNP	compound	B-location
State	NNP	compound	I-location
Building	NNP	nsubj	I-location
=	SYM	punct	O
ESB	NNP	ROOT	B-location
.	.	punct	O
Pretty	JJ	amod	O
bad	JJ	amod	O
storm	NN	ROOT	O
here	RB	advmod	O
last	JJ	amod	O
evening	NN	npadvmod	O
.	.	punct	O

From	IN	prep	O
Green	NNP	compound	O
Newsfeed	NNP	pobj	O
:	:	punct	O
AHFA	NNP	nsubj	B-group
extends	VBZ	ROOT	O
deadline	NN	dobj	O
for	IN	prep	O
Sage	NNP	compound	O
Award	NNP	pobj	O
to	IN	prep	O
Nov	NNP	pobj	O
.	.	punct	O
5	CD	ROOT	O
http://tinyurl.com/24agj38	-RRB-	punct	O

Pxleyes	NNP	compound	B-corporation
Top	NNP	nmod	O
50	CD	nummod	O
Photography	NNP	compound	O
Contest	NNP	compound	O
Pictures	NNP	ROOT	O
of	IN	prep	O
August	NNP	pobj	O
2010	CD	nummod	O
...	:	punct	O
http://bit.ly/bgCyZ0	NNP	compound	O
#photography	NN	ROOT	O

today	NN	nsubj	O
is	VBZ	ROOT	O
my	PRP$	poss	O
last	JJ	amod	O
day	NN	attr	O
at	IN	prep	O
the	DT	det	O
office	NN	pobj	O
.	.	punct	O

4Dbling	NN	poss	B-person
's	POS	case	O
place	NN	ROOT	O
til	IN	prep	O
monday	NN	pobj	O
,	,	punct	O
party	NN	compound	O
party	NN	compound	O
party	NN	pobj	O
.	.	punct	O
&lt;	NNP	ROOT	O
3	CD	nummod	O

watching	VBG	csubj	O
the	DT	det	O
VMA	NN	compound	B-creative-work
pre-show	NN	dobj	O
again	RB	advmod	O
lol	VBP	ROOT	O
it	PRP	nsubj	O
was	VBD	ccomp	O
n't	RB	neg	O
even	RB	advmod	O
a	DT	det	O
good	JJ	amod	O
show	NN	attr	O
the	DT	det	O
first	JJ	amod	O
time	NN	npadvmod	O
...	:	punct	O
so	RB	advmod	O
bored	JJ	acomp	O
!	.	punct	O

27	CD	nummod	O
followers	NNS	ROOT	O
!	.	punct	O
30	CD	nummod	O
followers	NNS	nsubj	O
is	VBZ	ROOT	O
my	PRP$	poss	O
goal	NN	attr	O
for	IN	prep	O
today	NN	pobj	O
!	.	punct	O

This	DT	nsubj	O
is	VBZ	ROOT	O
the	DT	det	O
2nd	JJ	amod	O
hospital	NN	compound	O
ive	JJ	attr	O
been	VBN	acl	O
in	IN	prep	O
today	NN	npadvmod	O
,	,	punct	O
but	CC	cc	O
ive	JJ	conj	O
just	RB	advmod	O
seen	VBD	dep	O
a	DT	det	O
doctor	NN	dobj	O
who	WP	nsubj	O
was	VBD	relcl	O
an	DT	det	O
older	JJR	amod	O
version	NN	attr	O
of	IN	prep	O
justin	NN	compound	O
:'	NFP	pobj	O
)	-RRB-	punct	O

Friday	NNP	compound	O
Night	NNP	compound	O
Eats	NNP	nsubj	O
http://twitpic.com/2pdvtr	VBD	ROOT	O

Gotta	NN	nsubj	O
dress	VB	ROOT	O
up	RP	prt	O
for	IN	prep	O
london	NN	compound	O
fashion	NN	compound	O
week	NN	pobj	O
and	CC	cc	O
party	NN	conj	O
in	IN	prep	O
style	NN	pobj	O
!	.	punct	O

@Suzie55	NN	compound	O
whispering	NN	amod	O
cause	IN	mark	O
I	PRP	nsubj	O
may	MD	aux	O
have	VB	aux	O
had	VBN	ROOT	O
1	CD	dobj	O
too	RB	advmod	O
many	JJ	amod	O
vodka	NN	poss	B-product
's	POS	case	O
last	JJ	amod	O
night	NN	npadvmod	O
and	CC	cc	O
am	VBP	conj	O
a	DT	det	O
lil	NN	compound	O
fragile	NN	attr	O
,	,	punct	O
hold	VB	conj	O
me	PRP	dobj	O
?	.	punct	O

#NFL	UH	intj	O
Week	NNP	npadvmod	O
2	CD	nummod	O
picks	NNS	compound	O
blog	NN	nsubj	O
is	VBZ	ROOT	O
up	RB	advmod	O
on	IN	prep	O
@The_Score	NN	compound	O
website	NN	pobj	O
...	:	punct	O
http://blogs.thescore.com/nfl/2010/09/17/pizzolaw2/	ADD	ROOT	O

I	PRP	nsubj	O
like	VBP	ROOT	O
@SouljaBoy	IN	prep	O
songs	NNS	dobj	O
after	IN	prep	O
a	DT	det	O
few	JJ	amod	O
drinks	NNS	pobj	O

...	NFP	punct	O
asked	VBD	ROOT	O
me	PRP	dative	O
a	DT	det	O
