RT	NNP	compound	O
@DatBabi___	NNP	ROOT	O
:	:	punct	O
Dee	NNP	compound	B-person
Whit	NNP	poss	I-person
having	VBG	acl	O
something	NN	dobj	O
Saturday	NNP	npadvmod	O
,	,	punct	O
ima	NN	compound	O
slide	NN	nsubj	O
through	IN	prep	O
&amp;	NN	pobj	O
show	VBP	ROOT	O
my	PRP$	poss	O
face	NN	dobj	O
.	.	punct	O

Today	NN	npadvmod	O
I	PRP	nsubj	O
must	MD	aux	O
make	VB	ROOT	O
full	JJ	amod	O
use	NN	dobj	O
of	IN	prep	O
the	DT	det	O
filter	NN	pobj	O
..	.	punct	O
Please	UH	intj	O
don't	RB	advmod	O
fail	VB	ROOT	O
me	PRP	dobj	O
today	NN	npadvmod	O
!	.	punct	O

@Gherbo___	NFP	punct	O
bet	VB	ROOT	O
we	PRP	nsubj	O
play	VBP	ccomp	O
ptap	NN	dobj	O
1st	JJ	amod	O
game	NN	ROOT	O

New	NNP	compound	O
Comic	NNP	compound	O
List	NNP	nsubj	O
is	VBZ	ROOT	O
out	RB	advmod	O
for	IN	prep	O
Next	NNP	compound	O
Week	NNP	pobj	O
(	-LRB-	punct	O
September	NNP	appos	O
22	CD	nummod	O
,	,	punct	O
2010	CD	npadvmod	O
)	-RRB-	punct	O
and	CC	cc	O
don't	RB	nsubj	O
forget	VB	conj	O
to	TO	aux	O
stop	VB	xcomp	O
by	IN	prep	O
Today	NN	pobj	O
from	IN	prep	O
5-8pm	CD	pobj	O
for	IN	prep	O
Happy	JJ	pobj	O
...	.	punct	O
http://fb.me/JLaJCWdu	NNP	punct	O

@davidcushman	NNP	compound	O
David	NNP	npadvmod	B-person
,	,	punct	O
I	PRP	nsubj	O
just	RB	advmod	O
realised	VBD	ROOT	O
the	DT	det	O
other	JJ	amod	O
day	NN	dobj	O
you're	UH	intj	O
no	RB	neg	O
longer	RBR	advmod	O
at	IN	prep	O
Brando	NNP	pobj	B-corporation
?	.	punct	O
How	WRB	advmod	O
come	VB	ROOT	O
?	.	punct	O
Doing	VBG	ROOT	O
your	PRP$	poss	O
own	JJ	amod	O
thing	NN	dobj	O
?!	.	punct	O
(	-LRB-	punct	O
ps	VB	ROOT	O
yeah	UH	intj	O
it	PRP	nsubj	O
sucks	VBZ	ROOT	O
!	.	punct	O
)	-RRB-	punct	O

@Loserface_Laura	NN	npadvmod	O
when	WRB	advmod	O
mike	NNP	nsubj	B-person
lets	VBZ	advcl	O
me	PRP	nsubj	O
know	VB	ccomp	O
,	,	punct	O
I	PRP	nsubj	O
will	MD	aux	O
let	VB	ROOT	O
you	PRP	nsubj	O
know	VB	ccomp	O
.	.	punct	O
I	PRP	nsubj	O
