@virtualpatti	NNP	ROOT	O
-	:	punct	O
Well	UH	intj	O
there	EX	expl	O
were	VBD	ROOT	O
4	CD	nummod	O
interviews	NNS	attr	O
(	-LRB-	punct	O
diff	NN	compound	O
gov	NN	compound	O
jobs	NNS	appos	O
)	-RRB-	punct	O
i	PRP	nsubj	O
got	VBD	conj	O
the	DT	det	O
1	CD	dobj	O
i	PRP	nsubj	O
wanted	VBD	relcl	O
.	.	punct	O
Glad	NNP	intj	O
i	PRP	nsubj	O
found	VBD	advcl	O
out	RP	prt	O
today	NN	npadvmod	O
,	,	punct	O
it	PRP	nsubj	O
would	MD	aux	O
be	VB	ROOT	O
a	DT	det	O
long	JJ	amod	O
weekend	NN	attr	O
if	IN	prep	O
not	RB	neg	O

@daxx_d24	VBZ	ROOT	O
best	JJS	amod	O
feeling	NN	dobj	O
in	IN	prep	O
the	DT	det	O
world	NN	pobj	O
twice	PDT	advmod	O
this	DT	det	O
week	NN	npadvmod	O
.	.	punct	O
Got	VB	ROOT	O
3	CD	dobj	O
more	JJR	advmod	O
on	IN	prep	O
the	DT	det	O
way	NN	compound	O
lmao	NN	pobj	O
i	PRP	nsubj	O
cant	VBP	ccomp	O
stop	VBP	ROOT	O

RT	NNP	nsubj	O
@Georg_Grey	NNP	ccomp	O
:	:	punct	O
Man	NN	nsubj	O
:"	-RRB-	punct	O
Is	VBZ	ROOT	O
there	EX	expl	O
any	DT	det	O
way	NN	attr	O
for	IN	prep	O
a	DT	det	O
long	JJ	amod	O
life	NN	pobj	O
?"	.	punct	O
Doctor	NN	ROOT	O
:	:	punct	O
"	``	punct	O
Get	VB	acl	O
married	JJ	acomp	O
."	.	punct	O
Man	NN	ROOT	O
:"	DT	punct	O
Will	MD	aux	O
it	PRP	nsubj	O
help	VB	ROOT	O
?"	.	punct	O
Doctor	NN	ROOT	O
:"	NNP	punct	O
No	UH	ROOT	O
,	,	punct	O
but	CC	cc	O
the	DT	det	O
thought	NN	ROOT	O
of	IN	prep	O
long	JJ	amod	O
li	NN	pobj	O
...	.	punct	O

Foooooootball	NN	compound	O
game	NN	compound	O
toooonight	NN	ROOT	O
.	.	punct	O
then	RB	advmod	O
auburn	VB	ROOT	B-location
game	NN	dobj	O
tomorrow	NN	npadvmod	O
!!!!	.	punct	O
war	NN	dep	O
damn	JJ	advmod	O
eagle	VBP	ROOT	O
!!!	.	punct	O

Football	NN	compound	O
game	NN	ROOT	O
tonight	NN	npadvmod	O
:)	:	punct	O
yeeah	NN	compound	O
boilers	NNS	appos	B-group
..	.	punct	O
oh	UH	intj	O
wait	VB	parataxis	O
,	,	punct	O
we	PRP	nsubj	O
suck	VBP	ROOT	O
.	.	punct	O
haha	UH	ROOT	O

Well	UH	intj	O
,	,	punct	O
after	IN	prep	O
a	DT	det	O
fast-paced	JJ	amod	O
week	NN	pobj	O
full	JJ	amod	O
of	IN	prep	O
prayer	NN	pobj	O
from	IN	prep	O
family	NN	pobj	O
and	CC	cc	O
friends	NNS	conj	O
,	,	punct	O
I	PRP	nsubj	O
now	RB	advmod	O
have	VBP	ROOT	O
a	DT	det	O
full	JJ	amod	O
time	NN	compound	O
job	NN	dobj	O
and	CC	cc	O
I	PRP	nsubj	O
pretty	RB	advmod	O
much	RB	advmod	O
start	NN	ROOT	O
Monday	NNP	npadvmod	O
:-)	.	punct	O

Thanks	NNS	ROOT	O
for	IN	prep	O
all	DT	pobj	O
you	PRP	nsubj	O
do	VBP	relcl	O
:	:	punct	O
@marketinghabit	NN	appos	O
,	,	punct	O
@girlfriendgroup	NNP	conj	O
,	,	punct	O
@cjhayden	NNP	conj	O
,	,	punct	O
@KadenaSimon	JJ	conj	O
.	.	punct	O
You	PRP	nsubj	O
bolstered	VBD	ROOT	O
my	PRP$	poss	O
week	NN	dobj	O
.	.	punct	O

@dancindeac	NNS	nsubj	O
bet	VBP	ROOT	O
the	DT	det	O
vino	NN	nsubj	O
tastes	VBZ	ccomp	O
especially	RB	advmod	O
good	JJ	acomp	O
this	DT	det	O
week	NN	npadvmod	O
.	.	punct	O
;-)	.	ROOT	O

doesn't	CD	nsubj	O
feel	VB	ROOT	O
like	IN	mark	O
it	PRP	nsubj	O
's	VBZ	advcl	O
my	PRP$	poss	O
birthday	NN	attr	O
tomorrow	NN	npadvmod	O

Exhausted	VBN	ROOT	O
after	IN	prep	O
a	DT	det	O
surprisingly	RB	advmod	O
busy	JJ	amod	O
(	-LRB-	punct	O
and	CC	cc	O
boozy	JJ	amod	O
day	NN	pobj	O
)	-RRB-	punct	O
with	IN	prep	O
@joemcelderry91	NNP	nmod	O
http://ow.ly/i/3TYe	NNP	nmod	O
@whitneytweets	NNPS	nmod	O
@matthewlawton	NNP	nmod	O
and	CC	cc	O
Wonder	NNP	conj	B-person
Woman	NNP	pobj	I-person
!	.	punct	O

@YFarahat	DT	det	O
@n_atalla	NN	npadvmod	O
I	PRP	nsubj	O
stopped	VBD	ROOT	O
buying	VBG	xcomp	O
bottled	JJ	amod	O
water	NN	dobj	O
for	IN	prep	O
like	UH	amod	O
2	CD	nummod	O
years	NNS	pobj	O
:)	NNS	punct	O
installed	VBD	xcomp	O
a	DT	det	O
water	NN	compound	O
filter	NN	dobj	O
and	CC	cc	O
it	PRP	nsubj	O
's	VBZ	conj	O
great	JJ	acomp	O
.	.	punct	O
Water	NN	compound	O
taste	NN	ROOT	O
like	IN	prep	O
water	NN	pobj	O
now	RB	advmod	O
:)	.	punct	O

My	PRP$	poss	O
January	NNP	compound	O
Favorites	NNPS	nsubj	O
went	VBD	ROOT	O
up	RP	prt	O
today	NN	npadvmod	O
!	.	punct	O
Have	VBP	aux	O
you	PRP	nsubj	O
seen	VBN	ROOT	O
it	PRP	dobj	O
yet	RB	advmod	O
?	.	punct	O
https://t.co/zkYa3xh4sN	NN	ROOT	O

@null	NNP	nsubj	O
January	NNP	npadvmod	O
14	CD	nummod	O
,	,	punct	O
2015	CD	nummod	O
at	IN	prep	O
06:38	CD	nummod	O
AM	NN	pobj	O
http://t.co/pOaDVrcioy	VBD	ROOT	O
e	NN	npadvmod	O

Work	NN	nsubj	O
330-1130	DT	appos	O
come	VB	ROOT	O
home	NN	compound	O
shower	NN	compound	O
bed	NN	npadvmod	O
up	RP	advmod	O
early	RB	advmod	O
for	IN	prep	O
buckboardday	NN	compound	O
parade	NN	pobj	O
then	RB	advmod	O
sanchez	NN	compound	B-person
family	NN	compound	O
reunion	NN	dep	O
then	RB	advmod	O
betos	VBZ	dep	B-person
gbye	JJ	amod	O
party	NN	dobj	O
so	RB	advmod	O
much	RB	advmod	O
for	IN	prep	O
a	DT	det	O
day	NN	pobj	O
off	RB	advmod	O

Ew	UH	nsubj	O
wait	VB	ROOT	O
baq	NN	compound	O
da	NN	compound	O
fuq	NN	npadvmod	O
up	RP	prt	O
.	.	punct	O
I	PRP	nsubj	O
have	VBP	ROOT	O
to	TO	aux	O
look	VB	xcomp	O
after	IN	prep	O
Michael	NNP	pobj	B-person
and	CC	cc	O
his	PRP$	poss	O
friend	NN	conj	O
...	:	punct	O
JOY	NNP	npadvmod	O
.	.	punct	O
-___-op	.	punct	O

Conditioning	NN	compound	O
plan	NN	nsubj	O
all	DT	dep	O
made	VBN	ROOT	O
up	RP	prt	O
for	IN	prep	O
tomorrow	NN	pobj	O
,	,	punct	O
final	JJ	amod	O
touches	NNS	nsubjpass	O
have	VBP	aux	O
been	VBN	auxpass	O
made	VBN	conj	O
!!	.	punct	O
#softballready	RB	ROOT	O

RT	NNP	compound	O
@iSplashInYoMouf	NNP	ROOT	O
:	:	punct	O
RE*TWEET	VB	appos	O
IF	IN	mark	O
