in	IN	ROOT	O
what	WP	dobj	O
2012	CD	nummod	B-Year
movie	NN	nsubj	O
does	VBZ	aux	O
a	DT	det	O
killer	NN	nsubj	B-Plot
recreate	VB	pcomp	I-Plot
the	DT	det	I-Plot
horrifying	JJ	amod	I-Plot
stories	NNS	dobj	I-Plot
written	VBN	acl	O
by	IN	agent	O
edgar	NN	amod	B-Origin
allen	NN	amod	I-Origin
poe	NN	pobj	I-Origin

yul	NN	compound	B-Actor
brynner	NN	nsubj	I-Actor
won	VBD	ROOT	O
an	DT	det	O
oscar	NN	dobj	B-Award
for	IN	prep	O
his	PRP$	poss	O
role	NN	pobj	O
in	IN	prep	O
this	DT	det	O
1956	CD	nummod	B-Year
rogers	NNS	pobj	B-Director
and	CC	cc	I-Director
hammerstein	FW	advmod	I-Director
musical	JJ	conj	B-Genre

i	PRP	nsubj	O
m	VBP	aux	O
thinking	VBG	ROOT	O
of	IN	prep	O
a	DT	det	O
movie	NN	pobj	O
starring	VBG	acl	O
julia	NNS	compound	B-Actor
roberts	NNS	dobj	I-Actor
on	IN	prep	O
the	DT	det	O
journey	NN	pobj	B-Plot
of	IN	prep	I-Plot
her	PRP$	poss	I-Plot
life	NN	pobj	I-Plot
to	IN	prep	I-Plot
three	CD	nummod	I-Plot
countries	NNS	pobj	I-Plot
where	WRB	advmod	I-Plot
she	PRP	nsubj	I-Plot
truly	RB	advmod	I-Plot
discovers	VBZ	relcl	I-Plot
what	WP	det	I-Plot
life	NN	nsubj	I-Plot
is	VBZ	ccomp	I-Plot
about	IN	prep	I-Plot

this	DT	det	O
2010	CD	nummod	B-Year
western	NN	nsubj	B-Genre
was	VBD	ROOT	O
a	DT	det	O
remake	NN	attr	B-Relationship
of	IN	prep	B-Origin
a	DT	det	I-Origin
1969	CD	nummod	I-Origin
henry	NN	compound	B-Director
hathaway	NN	compound	I-Director
film	NN	pobj	B-Origin
by	IN	prep	I-Origin
the	DT	det	I-Origin
same	JJ	amod	I-Origin
name	NN	pobj	I-Origin

what	WP	attr	O
s	VBZ	ROOT	O
the	DT	det	O
re	VBG	punct	B-Relationship
telling	VBG	advcl	I-Relationship
of	IN	prep	I-Relationship
the	DT	det	I-Relationship
beauty	NN	pobj	I-Relationship
and	CC	cc	I-Relationship
the	DT	det	I-Relationship
beast	NN	compound	I-Relationship
story	NN	conj	I-Relationship
set	VBN	acl	O
in	IN	prep	O
modern	JJ	amod	O
day	NN	pobj	O
new	JJ	amod	O
york	NN	compound	O
city	NN	attr	O

what	WP	attr	O
is	VBZ	ROOT	O
the	DT	det	O
name	NN	nsubj	O
of	IN	prep	O
the	DT	det	O
last	JJ	amod	B-Relationship
film	NN	pobj	I-Relationship
based	VBN	acl	O
off	IN	prep	O
of	IN	prep	O
a	DT	det	B-Plot
boy	NN	pobj	I-Plot
wizard	NN	appos	I-Plot
who	WP	nsubj	I-Plot
is	VBZ	aux	I-Plot
fighting	VBG	relcl	I-Plot
evil	NN	dobj	I-Plot

this	DT	det	O
crime	NN	compound	B-Genre
film	NN	nsubj	O
starring	VBG	acl	O
jack	NN	compound	B-Actor
nicholson	NN	compound	I-Actor
matt	NN	dobj	I-Actor
damon	JJ	amod	I-Actor
leonardo	NN	compound	I-Actor
dicaprio	NN	ROOT	I-Actor
and	CC	cc	O
mark	NN	compound	B-Actor
wahlberg	NN	nsubj	I-Actor
is	VBZ	conj	O
a	DT	det	O
best	JJS	amod	B-Award
